entry_a,entry_b,alignment_type,confidence,notes
barbaro:I,beck:1.1,equivalent,certain,
barbaro:I,berendes:1.1,equivalent,certain,
barbaro:I,desmoulins:1.1,equivalent,certain,
barbaro:I,gunther:1.1,equivalent,certain,
barbaro:I,laguna:1.1,equivalent,certain,
barbaro:I,lusitanus:1,equivalent,certain,
barbaro:I,matthioli:1.1,equivalent,certain,
barbaro:I,monardes:I,equivalent,certain,
barbaro:I,wellmann:1.1,equivalent,certain,
beck:1.1,berendes:1.1,equivalent,certain,
beck:1.1,desmoulins:1.1,equivalent,certain,
beck:1.1,gunther:1.1,equivalent,certain,
beck:1.1,laguna:1.1,equivalent,certain,
beck:1.1,lusitanus:1,equivalent,certain,
beck:1.1,matthioli:1.1,equivalent,certain,
beck:1.1,monardes:I,equivalent,certain,
beck:1.1,wellmann:1.1,equivalent,certain,
berendes:1.1,desmoulins:1.1,equivalent,certain,
berendes:1.1,gunther:1.1,equivalent,certain,
berendes:1.1,laguna:1.1,equivalent,certain,
berendes:1.1,lusitanus:1,equivalent,certain,
berendes:1.1,matthioli:1.1,equivalent,certain,
berendes:1.1,monardes:I,equivalent,certain,
berendes:1.1,wellmann:1.1,equivalent,certain,
desmoulins:1.1,gunther:1.1,equivalent,certain,
desmoulins:1.1,laguna:1.1,equivalent,certain,
desmoulins:1.1,lusitanus:1,equivalent,certain,
desmoulins:1.1,matthioli:1.1,equivalent,certain,
desmoulins:1.1,monardes:I,equivalent,certain,
desmoulins:1.1,wellmann:1.1,equivalent,certain,
gunther:1.1,laguna:1.1,equivalent,certain,
gunther:1.1,lusitanus:1,equivalent,certain,
gunther:1.1,matthioli:1.1,equivalent,certain,
gunther:1.1,monardes:I,equivalent,certain,
gunther:1.1,wellmann:1.1,equivalent,certain,
laguna:1.1,lusitanus:1,equivalent,certain,
laguna:1.1,matthioli:1.1,equivalent,certain,
laguna:1.1,monardes:I,equivalent,certain,
laguna:1.1,wellmann:1.1,equivalent,certain,
lusitanus:1,matthioli:1.1,equivalent,certain,
lusitanus:1,monardes:I,equivalent,certain,
lusitanus:1,wellmann:1.1,equivalent,certain,
matthioli:1.1,monardes:I,equivalent,certain,
matthioli:1.1,wellmann:1.1,equivalent,certain,
monardes:I,wellmann:1.1,equivalent,certain,
"barbaro:II",beck:1.2,equivalent,certain,
"barbaro:II",berendes:1.2,equivalent,certain,
"barbaro:II",desmoulins:1.2,equivalent,certain,
"barbaro:II",gunther:1.2,equivalent,certain,
"barbaro:II",laguna:1.2,equivalent,certain,
"barbaro:II",lusitanus:2,equivalent,certain,
"barbaro:II",monardes:II,equivalent,certain,
"barbaro:II",wellmann:1.2,equivalent,certain,
beck:1.2,berendes:1.2,equivalent,certain,
beck:1.2,desmoulins:1.2,equivalent,certain,
beck:1.2,gunther:1.2,equivalent,certain,
beck:1.2,laguna:1.2,equivalent,certain,
beck:1.2,lusitanus:2,equivalent,certain,
beck:1.2,monardes:II,equivalent,certain,
beck:1.2,wellmann:1.2,equivalent,certain,
berendes:1.2,desmoulins:1.2,equivalent,certain,
berendes:1.2,gunther:1.2,equivalent,certain,
berendes:1.2,laguna:1.2,equivalent,certain,
berendes:1.2,lusitanus:2,equivalent,certain,
berendes:1.2,monardes:II,equivalent,certain,
berendes:1.2,wellmann:1.2,equivalent,certain,
desmoulins:1.2,gunther:1.2,equivalent,certain,
desmoulins:1.2,laguna:1.2,equivalent,certain,
desmoulins:1.2,lusitanus:2,equivalent,certain,
desmoulins:1.2,monardes:II,equivalent,certain,
desmoulins:1.2,wellmann:1.2,equivalent,certain,
gunther:1.2,laguna:1.2,equivalent,certain,
gunther:1.2,lusitanus:2,equivalent,certain,
gunther:1.2,monardes:II,equivalent,certain,
gunther:1.2,wellmann:1.2,equivalent,certain,
laguna:1.2,lusitanus:2,equivalent,certain,
laguna:1.2,monardes:II,equivalent,certain,
laguna:1.2,wellmann:1.2,equivalent,certain,
lusitanus:2,monardes:II,equivalent,certain,
lusitanus:2,wellmann:1.2,equivalent,certain,
monardes:II,wellmann:1.2,equivalent,certain,
"barbaro:III",beck:1.3,equivalent,certain,
"barbaro:III",berendes:1.3,equivalent,certain,
"barbaro:III",desmoulins:1.3,equivalent,certain,
"barbaro:III",gunther:1.3,equivalent,certain,
"barbaro:III",laguna:1.3,equivalent,certain,
"barbaro:III",lusitanus:3,equivalent,certain,
"barbaro:III",monardes:III,equivalent,certain,
"barbaro:III",wellmann:1.3,equivalent,certain,
beck:1.3,berendes:1.3,equivalent,certain,
beck:1.3,desmoulins:1.3,equivalent,certain,
beck:1.3,gunther:1.3,equivalent,certain,
beck:1.3,laguna:1.3,equivalent,certain,
beck:1.3,lusitanus:3,equivalent,certain,
beck:1.3,monardes:III,equivalent,certain,
beck:1.3,wellmann:1.3,equivalent,certain,
berendes:1.3,desmoulins:1.3,equivalent,certain,
berendes:1.3,gunther:1.3,equivalent,certain,
berendes:1.3,laguna:1.3,equivalent,certain,
berendes:1.3,lusitanus:3,equivalent,certain,
berendes:1.3,monardes:III,equivalent,certain,
berendes:1.3,wellmann:1.3,equivalent,certain,
desmoulins:1.3,gunther:1.3,equivalent,certain,
desmoulins:1.3,laguna:1.3,equivalent,certain,
desmoulins:1.3,lusitanus:3,equivalent,certain,
desmoulins:1.3,monardes:III,equivalent,certain,
desmoulins:1.3,wellmann:1.3,equivalent,certain,
gunther:1.3,laguna:1.3,equivalent,certain,
gunther:1.3,lusitanus:3,equivalent,certain,
gunther:1.3,monardes:III,equivalent,certain,
gunther:1.3,wellmann:1.3,equivalent,certain,
laguna:1.3,lusitanus:3,equivalent,certain,
