beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,berendes_teitok_ids,berendes_chapter_keys,berendes_terms,desmoulins_pages,laguna_pages,wechel_pages,mattioli_chapters
DMM1001,ἶρις,Iris,1,e-9,1.1,Iris,17,11,4,1.1
DMM1002,ἄκορον,Yellow flag,1,e-10,1.2,Akoron,19,12,6,1.2
DMM1003,μῆον,Baldmoney,1,e-11,1.3,Bärwurz,22,13,6,1.3
DMM1004,κύπερος,Galingale,1,e-12,1.4,Cyperngras,22,14,6,1.4
DMM1005,ἕτερον εἶδος κυπέρου,Turmeric,1,,,,,,,
DMM1006,καρδάμωμον,Cardamom,1,e-13,1.5,Kardamomon,23,15,7,1.5
DMM1007,νάρδος,Spikenard,1,e-14,1.6,Narde,25,16,8,1.6
DMM1008,κελτικὴ νάρδος,Celtic spikenard,1,e-15,1.7,Keltische Narde,27,17,9,1.7
DMM1009,ὀρεινὴ νάρδος,Mountain spikenard,1,e-16,1.8,Bergnarde,29,18,10,1.8
DMM1010,ἄσαρον,Hazelwort,2,e-17; e-140,1.9; 1.133,Haselwurz; Akazie,30; 134,18; 86,10; 68,1.9; 1.115
DMM1011,φοῦ,Cretan spikenard,1,e-18,1.10,Phu,31,19,10,1.10
DMM1012,μαλάβαθρον,Malabar,1,e-19,1.11,Malabathron,33,20,11,1.11
DMM1013,κασσία,Cassia,1,e-20,1.12,Kassia,35,21,11,1.12
DMM1014,κινάμωμον,Cinnamon,1,e-21,1.13,Zimmt,35,22,12,1.13
DMM1015,ἄμωμον,Nepal cardamom,1,e-22,1.14,Amomum,41,23,14,1.14
DMM1016,κόστος,Costusroot,1,e-23,1.15,Kostus,42,24,15,1.15
DMM1017,σχοῖνος,Camel hay,1,e-24,1.16,Bartgras,43,24,15,1.16
DMM1018,κάλαμος ἀρωματικός,Sweet flag,1,e-25,1.17,Kalmus,44,25,16,1.17
DMM1019,βάλσαμον,Mecca balsam,1,e-26,1.18,Balsam,46,26,16,1.18
DMM1020,ἀσπάλαθος,Camel’s-thorn,1,e-27,1.19,Aspalathos,48,28,18,1.19
DMM1021,βρύον,Tree moss,1,e-28,1.20,Bryon,48,28,19,1.20
DMM1022,ἀγάλοχον,Aloewood/Eagle-wood,1,e-29,1.21,Agallochon,51,30,19,1.21
DMM1023,νάσκαφθον,Nascaphthon,1,e-30,1.22,Naskaphthon,52,30,19,1.22
DMM1024,κάγκαμον,Bisabol,1,e-31,1.23,Kankamon,52,30,19,1.23
DMM1025,κῦφι,Cyphi,1,e-32,1.24,Kyphi,54,31,20,1.24
DMM1026,κρόκος,Saffron,1,e-33,1.25,Safran,54,31,20,1.25
DMM1027,κροκόμαγμα,Saffron residuum,1,e-34,1.26,Krokomagma,54,32,21,1.26
DMM1028,ἑλένιον,Elecampane,1,e-35,1.27,Alant,55,32,22,1.27
DMM1029,ἑλένιον ἄλλο,Another elecampane,1,e-36,1.28,Aegyptischer Alant,55,,22,
DMM1030,ἔλαιον,Olive oil,1,e-37,1.29,Oel aus unreifen Oliven,56,33,22,1.28
DMM1031,ἐλαιόμελι,Olive tree sweet gum,1,e-45,1.37,Honigöl,58,35,25,1.32
DMM1032,κίκινον ἔλαιον,Castor oil,1,e-46,1.38,Ricinusöl,58,35,25,1.33
DMM1033,ἀμυγδάλινον ἔλαιον,Almond oil,1,e-47,1.39,Mandelöl,59,36,26,1.34
DMM1034,βαλάνινον,Oil from the nut of the ben tree,1,e-48,1.40,Behenöl,59,36,26,1.35
DMM1035,ὑοσκυάμινον,Oil of henbane,1,e-50,1.42,Bilsenöl,60,37,27,1.36
DMM1036,Κνιδίου κόκκου,Oil from berries of spurge flax,1,e-51,1.43,Knidisches Oel,,,27,
DMM1037,ῥαφάνινον,Oil of radish,1,e-53,1.45,Rettigöl,,,27,
DMM1038,σινάπινον,Mustard oil,1,e-55,1.47,Senföl,,,27,
DMM1039,μυρσίνινον,Oil of myrtle,1,e-56,1.48,Myrtenöl,,37,27,1.37
DMM1040,δάφνινον,Oil of sweet bay,1,e-57,1.49,Lorbeeröl,61,38,28,1.38
DMM1041,σχίνινον,Oil of mastic,1,e-58,1.50,Oel des Mastixbaumes,61,38,28,1.39
DMM1042,μαστίχινον,Mastic oil,1,e-59,1.52,Die Zusammensetzung der Salböle,62,38,29,1.41
DMM1043,ῥοδίνου σκευασία,Preparation of unguent of roses,1,e-60,1.53,Die Bereitung des Rosenöls,62,38,29,1.42
DMM1044,ἐλατίνου σκευασία,Preparation of unguent of date palm,1,e-61,1.54,Die Bereitung des Elatsöls,62,39,30,1.43
DMM1045,μελίνου σκευασία,Preparation of unguent of quince,1,e-62,1.55,Die Bereitung des Quittenöls,63,39,31,1.44
DMM1046,οἰνανθίνου σκευασία,Preparation of unguent of wild vine inflorescence,1,e-63,1.56,Die Bereitung des Weinblüthenöls,63,40,31,1.45
DMM1047,τελίνου σκευασία,Preparation of unguent of fenugreek,1,e-64,1.57,Die Bereitung des Bockshornöls,63,40,31,1.46
DMM1048,σαμψουχίνου σκευασία,Preparation of unguent of marjoram,1,e-65,1.58,Die Bereitung des Majoranöls,63,40,32,1.47
DMM1049,ὠκιμίνου σκευασία,Preparation of unguent of basil,1,e-66,1.59,Die Bereitung des Basilicumöls,64,41,32,1.48
DMM1050,ἀβροτονίνου σκευασία,Preparation of unguent of wormwood,1,e-67,1.60,Die Bereitung des Beifussöls,64,41,33,1.49
DMM1051,ἀνηθίνου σκευασία,Preparation of unguent of dill,1,e-68,1.61,Die Bereitung des Dillöls,64,41,33,1.50
DMM1052,σουσίνου σκευασία,Preparation of unguent of lily,1,e-69,1.62,Die Bereitung des susischen Salböls,64,41,33,1.51
DMM1053,ναρκίσσινον,Preparation of unguent of narcissus,1,e-70,1.63,Die Bereitung des Narzissensalböls,64,42,35,1.52
DMM1054,κρόκινον,Preparation of unguent of saffron,1,e-71,1.64,Die Bereitung des Safransalböls,65,42,35,1.53
DMM1055,κυπρίνου στύψις καὶ σκευασία,Thickening and preparation of unguent of henna,1,e-72,1.65,Die Verdichtung und Bereitung des (Lawsonien-) Hennasalböls,65,43,36,1.54
DMM1056,ἰρίνου στύψις,Thickening of unguent of iris,1,e-73,1.66,Die Verdichtung des Schwertlilienöls,65,43,37,1.55
DMM1057,γλεύκινον,Unguent of new sweet wine,1,e-74,1.67,Die Bereitung des Mostöls,65,44,38,1.56
DMM1058,ἀμαράκινον,Unguent of marjoram,1,e-75,1.68,Amarakinon (Majoransalböl),66,44,38,1.57
DMM1059,μετώπιον,Metopion,1,e-78,1.71,Metopion,66,45,39,1.60
DMM1060,στακτή,Stacte,1,e-80,1.73,Stakte,66,45,40,1.62
DMM1061,κιναμώμινον,Unguent of cinnamon,1,e-81,1.74,Zimmtsalböl,67,46,40,1.63
