span_anchor_teitok_id,span_anchor_chapter,span_offset,beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,cardinality,berendes_teitok_id,berendes_teitok_candidates,berendes_degree,berendes_book_num,berendes_chapter_raw,berendes_chapter_keys,berendes_term,desmoulins_page,desmoulins_chapter,desmoulins_term,laguna_book,laguna_page,laguna_chapter,laguna_title,laguna_scan_id,wechel_book,wechel_page,wechel_chapter,wechel_title,wechel_scan_id,mattioli_book,mattioli_chapter_decimal,mattioli_chapter_roman,mattioli_greek,mattioli_latin,ruel_book,ruel_page_scan,ruel_folio,ruel_chapter,ruel_title_latin,ruel_title_vernacular,lusitanus_page,lusitanus_chapter,lusitanus_title,barbaro_book,barbaro_page,barbaro_chapter,barbaro_term,gunther_chapter,gunther_division,gunther_term,wellmann_id,wellmann_book,wellmann_chapter,wellmann_greek_lemma,wellmann_greek_text
e-9,1.1,0,DMM1001,ἶρις,Iris,,,e-9,,,1,1.1,1.1,Iris,17,Chap. I,De la flambe.,Libro primero,11,Cap I,De la Iris,23,Liber primus,4,Cap. I,De Iride,38,,1.1,I,Ἴρις,IRIS,Liber primus,26,2v,Cap I,De Iri,De iri,3,Enarratio 1,"De Iride (iris, radix consecratrix, lilium coeleste / des flambes, du glaiz)",I,3,1,Iris illyrica,1.1,div-2,IRIS,w-1,1,1,ἶρις,ἶρις Ἰλλυρική; ἶρις Μακεδονική; ἶρις Λιβυκὴ
e-10,1.2,0,DMM1002,ἄκορον,Yellow flag,,,e-10,,,1,1.2,1.2,Akoron,19,Chap. II,De l'acore.,Libro primero,12,Cap II,Del Acoro,24,Liber primus,6,Cap. II,De Acoro,40,,1.2,II,Ἄκορον,AKORON,Liber primus,26,2v,Cap II,De Acoro,De acoro,5,Enarratio 2,"De acoro (acorum, acorus, herba venerea, galangua crassa / galanga)",II,3,1,Acorus,1.2,div-3,AKORON,w-2,1,2,ἄκορον,ἄκορον
e-11,1.3,0,DMM1003,μῆον,Baldmoney,,,e-11,,,1,1.3,1.3,B?rwurz,22,Chap. III,De meon.,Libro primero,13,Cap III,Del Meu,25,Liber primus,6,Cap. III,De Meo,40,,1.3,III,Μῆον,MEON,Liber primus,27,3r,Cap III,De Meo,De meo,7,Enarratio 3,"De meo (mean, meu athamanticum, anethum sylvestrae, foeniculus tortuosus)",III,4,0,Meu,1.3,div-4,MEON,w-3,1,3,μῆον,μῆον
e-12,1.4,0,DMM1004,κύπερος,Galingale,,,e-12,,,1,1.4,1.4,Cyperngras,22,Chap. IIII,Du souchet.,Libro primero,14,Cap IIII,Del Cypero,26,Liber primus,6,Cap. IIII,De Cypero,40,,1.4,IV,Κύπερος,CYPERUS,Liber primus,27,3r,Cap IIII,De Cypiro,De cypiro,9,Enarratio 4,"De cypero (cyperus, cyperus odoratus, angulosus iuncus, triangularis iuncus, quadratus iuncus / suocheti)",IIII,4,0,Cyperus,1.4,div-5,KUPEIROS,w-4,1,4,κύπερος,κύπερος
e-13,1.5,0,DMM1006,καρδάμωμον,Cardamom,,,e-13,,,1,1.5,1.5,Kardamomon,23,Chap. V,Du cardamome.,Libro primero,15,Cap V,Del Cardamomo,27,Liber primus,7,Cap. V,De Cardamomo,41,,1.5,V,Καρδάμωμον,CARDAMOMUM,Liber primus,27,3r,Cap V,De Cardamomo,De cardamomo,11; 12,Enarratio 5,"De cardamomo (cardamomum, cardamomum indicum, cardamomum maius; Arabum cardamomum (cardamomum minus, malagueta, maligreta, granum paradisi)",V,4,0,Cardamomum,1.5,div-6,KARDAMOMON,w-6,1,6,καρδάμωμον,καρδάμωμον
e-14,1.6,0,DMM1007,νάρδος,Spikenard,,,e-14,,,1,1.6,1.6,Narde,25,Chap. VI,Du nard Indic.,Libro primero,16,Cap VI,Del Nardo,28,Liber primus,8,Cap. VI,De Nardo,42,,1.6,VI,Νάρδος,NARDUM,Liber primus,28,0v,Cap VI,De Nardo,De nardo,15,Enarratio 6,"De spica nardi (nardus indica, spica nardi, indica spica, radix spica)",VI,4,0,Nardi spica,1.6,div-7,NARDOS,w-7,1,7,νάρδος,νάρδος
e-15,1.7,0,DMM1008,κελτικὴ νάρδος,Celtic spikenard,,,e-15,,,1,1.7,1.7,Keltische Narde,27,Chap. VII,Du nard celtic.,Libro primero,17,Cap VII,"Del Nardo Gallico, o Celtico",29,Liber primus,9,Cap. VII,De Nardo Celtica,43,,1.7,VII,Νάρδος Κελτική,NARDUM CELTICUM,Liber primus,28,0v,Cap VII,De Nardo Celtico,De nardo celtico,17,Enarratio 7,"De nardo gallica (gallica nardus, celtica nardus, celticum nardum, spica romana, spica celtica, spica gallica). Secunda species (saliunca, birculus, spica communis, mascula spica, spica barbitonsorum / aspico). Tertia species (lavandula / lavende)",VII,5,2,Nardum Gallicum,1.7,div-8,NARDOS KELTIKE,w-8,1,8,κελτικὴ νάρδος,Κελτικὴ νάρδος
e-16,1.8,0,DMM1009,ὀρεινὴ νάρδος,Mountain spikenard,,,e-16,,,1,1.8,1.8,Bergnarde,29,Chap. VIII,Du nard de Montaigne.,Libro primero,18,Cap VIII,Del Nardo Montano,30,Liber primus,10,Cap. VIII,De Nardo Montana,44,,1.8,VIII,Νάρδος ὀρειτή,NARDUM MONTANUM,Liber primus,29,4r,Cap VIII,De montano Nardo,De montano nardo,20,Enarratio 8,"De montana nardo (nardus montana, montanus nardum, vulgo montano nardo)",VIII,5,2,Nardum montanum,1.8,div-9,NARDOS OREINE,w-9,1,9,ὀρεινὴ νάρδος,ὀρεινὴ νάρδος
e-17,1.9,0,DMM1010,ἄσαρον,Hazelwort,,,e-17,,,1,1.9,1.9,Haselwurz,30,Chap. IX,Du cabaret.,Libro primero,18,Cap IX,Del Afaro,30,Liber primus,10,Cap. IX,De Asaro,44,,1.9,IX,Ἄσαρον,ASARUM,Liber primus,29,4r,Cap IX,De Afaro,De afaro,20,Enarratio 9,"De assaro (assarum, asarus, rustica nardus, nardus agrestis, vulgago / cabaret)",IX,5,2,Asaron,1.9; 1.133,div-10; div-115,ASARON; AKAKIA,w-10; w-101,1,10; 101,ἄσαρον; ἀκακία,ἄσαρον; ἀκακία
e-18,1.10,0,DMM1011,φοῦ,Cretan spikenard,,,e-18,,,1,1.10,1.10,Phu,31,Chap. X,"De phu, ou grande valeriane.",Libro primero,19,Cap X,Del Phu,31,Liber primus,10,Cap. X,De Phu,44,,1.10,X,Φοῦ,PHU,Liber primus,29,4r,Cap X,De Phu,De phu,21,Enarratio 10,"De phu (valeriana, amantilla, valentiana, herba benedicta / valeriane)",X,5,2,Phu,1.10,div-11,PHOU,w-11,1,11,φοῦ,φοῦ
