edition,edition_entry_id,barbaro_page,barbaro_book,barbaro_chapter,barbaro_term
barbaro,row1,3,I,1,Iris illyrica
barbaro,row2,3,II,1,Acorus
barbaro,row3,4,III,0,Meu
barbaro,row4,4,IIII,0,Cyperus
barbaro,row5,4,V,0,Cardamomum
barbaro,row6,4,VI,0,Nardi spica
barbaro,row7,5,VII,2,Nardum Gallicum
barbaro,row8,5,VIII,2,Nardum montanum
barbaro,row9,5,IX,2,Asaron
barbaro,row10,5,X,2,Phu
barbaro,row11,5,XI,2,Malabathrum
barbaro,row12,6,XII,0,Cassia
barbaro,row13,6,XIII,0,Cinnamomum
barbaro,row14,7,XIIII,3,Amomum
barbaro,row15,7,XV,3,Costum
barbaro,row16,7,XVI,3,Iuncus odoratus
barbaro,row17,7,XVII,3,Calamus odoratus
barbaro,row18,7,XVIII,3,Balsamus
barbaro,row19,8,XVIIII,0,Aspalathus
barbaro,row20,8,XX,0,Bryon
barbaro,row21,8,XXI,0,Agallochum
barbaro,row22,9,XXII,4,Nascaphthum
barbaro,row23,9,XXIII,4,Cancamum
barbaro,row24,9,XXIIII,4,Cyphi
barbaro,row25,9,XXV,4,Crocum
barbaro,row26,9,XXVI,4,Crocomagma
barbaro,row27,9,XXVII,4,Helenium
barbaro,row28,9,XXVIII,4,Helenium Aegyptium
barbaro,row29,10,XXIX,0,Omphacinum
barbaro,row30,10,XXX,0,Oleum ex Drupa
barbaro,row31,10,XXXI,0,Oleum ex oleastro
barbaro,row32,10,XXXII,0,Oleum candidum
barbaro,row33,10,XXXIII,0,Oleum Sicyonium
barbaro,row34,10,XXXIIII,0,Strigmenta à balneis
barbaro,row35,10,XXXV,0,Strigmenta palaestritarum
barbaro,row36,10,XXXVI,0,Strigmenta à partibus gymnasiorum
barbaro,row37,10,XXXVII,0,Elaeomeli
barbaro,row38,11,XXXVIII,5,Oleum cicinum
barbaro,row39,11,XXXIX,5,Oleum amygdalinum
barbaro,row40,11,XL,5,Oleum balaninum
barbaro,row41,11,XLI,5,Olleum sesaminum
barbaro,row42,11,XLII,5,Oleum caryinum
barbaro,row43,11,XLIII,5,Oleum hyoscyaminum
barbaro,row44,11,XLIIII,5,Oleum gnidium
barbaro,row45,11,XLV,5,Oleum cnicium
barbaro,row46,11,XLVI,5,Oleum raphaninum
barbaro,row47,11,XLVII,5,Oleum melanthinum
barbaro,row48,11,XLVIII,5,Oleum sinapinum
barbaro,row49,11,XLIX,5,Oleum myrteum
barbaro,row50,11,L,5,Oleum laurinum
barbaro,row51,11,LI,5,Oleum lentiscinum
barbaro,row52,11,LII,5,Oleum terebinthinum
barbaro,row53,11,LIII,5,Oleum mastichinum
barbaro,row54,11,LIIII,5,Unguenta in commune
barbaro,row55,12,LV,0,Unguentum rosaceum
barbaro,row56,12,LVI,0,Unguentum elatinum
barbaro,row57,12,LVII,0,Unguentum Melinum
barbaro,row58,12,LVIII,0,Unguentum oenanthinum
barbaro,row59,13,LIX,6,Unguentum Telinum
barbaro,row60,13,LX,6,Unguentum sampsychinum
barbaro,row61,13,LXI,6,Unguentum ociminum
barbaro,row62,13,LXII,6,Unguentum abrotoninum
barbaro,row63,13,LXIII,6,Unguentum anethinum
barbaro,row64,13,LXIIII,6,Unguentum Susinum
barbaro,row65,13,LXV,6,Unguentum narcissinum
barbaro,row66,13,LXVI,6,Unguentum crocinum
barbaro,row67,13,LXVII,6,Unguentum ciprinum
barbaro,row68,13,LXVIII,6,Unguentum irium
barbaro,row69,13,LIX,6,Unguentum gleucinum
barbaro,row70,13,LXX,6,Unguentum Amaracinum
barbaro,row71,13,LXXI,6,Unguentum Megalium
barbaro,row72,14,LXXII,0,Unguentum sive masma hedychrum
barbaro,row73,14,LXXIII,0,Unguentum Metopium
barbaro,row74,14,LXXIIII,0,Unguentum Mendesium
barbaro,row75,14,LXXV,0,Stacte unguentum
barbaro,row76,14,LXXVI,0,Cinnamominum ung
barbaro,row77,14,LXXVII,0,Unguentum nardinum
barbaro,row78,14,LXXVIII,0,Unguentum malabathrinum
barbaro,row79,14,LXXIX,0,Unguentum iasme
barbaro,row80,14,LXXX,0,Myrrha
barbaro,row81,15,LXXXI,0,Myrrha Boetica
barbaro,row82,15,LXXXII,0,Styrax
barbaro,row83,15,LXXXIII,0,Bdellium
barbaro,row84,15,LXXXIIII,0,Thus
barbaro,row85,16,LXXXV,0,Cortex thuris
barbaro,row86,16,LXXXVI,0,Manna thuris
barbaro,row87,16,LXXXVII,0,Fuligo thuris
barbaro,row88,16,LXXXVIII,0,Fuligo myrrhae et aliorum
