edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row1,DMM1001,ἶρις,Iris
beck,row2,DMM1002,ἄκορον,Yellow flag
beck,row3,DMM1003,μῆον,Baldmoney
beck,row4,DMM1004,κύπερος,Galingale
beck,row5,DMM1005,ἕτερον εἶδος κυπέρου,Turmeric
beck,row6,DMM1006,καρδάμωμον,Cardamom
beck,row7,DMM1007,νάρδος,Spikenard
beck,row8,DMM1008,κελτικὴ νάρδος,Celtic spikenard
beck,row9,DMM1009,ὀρεινὴ νάρδος,Mountain spikenard
beck,row10,DMM1010,ἄσαρον,Hazelwort
beck,row11,DMM1011,φοῦ,Cretan spikenard
beck,row12,DMM1012,μαλάβαθρον,Malabar
beck,row13,DMM1013,κασσία,Cassia
beck,row14,DMM1014,κινάμωμον,Cinnamon
beck,row15,DMM1015,ἄμωμον,Nepal cardamom
beck,row16,DMM1016,κόστος,Costusroot
beck,row17,DMM1017,σχοῖνος,Camel hay
beck,row18,DMM1018,κάλαμος ἀρωματικός,Sweet flag
beck,row19,DMM1019,βάλσαμον,Mecca balsam
beck,row20,DMM1020,ἀσπάλαθος,Camel’s-thorn
beck,row21,DMM1021,βρύον,Tree moss
beck,row22,DMM1022,ἀγάλοχον,Aloewood/Eagle-wood
beck,row23,DMM1023,νάσκαφθον,Nascaphthon
beck,row24,DMM1024,κάγκαμον,Bisabol
beck,row25,DMM1025,κῦφι,Cyphi
beck,row26,DMM1026,κρόκος,Saffron
beck,row27,DMM1027,κροκόμαγμα,Saffron residuum
beck,row28,DMM1028,ἑλένιον,Elecampane
beck,row29,DMM1029,ἑλένιον ἄλλο,Another elecampane
beck,row30,DMM1030,ἔλαιον,Olive oil
beck,row31,DMM1031,ἐλαιόμελι,Olive tree sweet gum
beck,row32,DMM1032,κίκινον ἔλαιον,Castor oil
beck,row33,DMM1033,ἀμυγδάλινον ἔλαιον,Almond oil
beck,row34,DMM1034,βαλάνινον,Oil from the nut of the ben tree
beck,row35,DMM1035,ὑοσκυάμινον,Oil of henbane
beck,row36,DMM1036,Κνιδίου κόκκου,Oil from berries of spurge flax
beck,row37,DMM1037,ῥαφάνινον,Oil of radish
beck,row38,DMM1038,σινάπινον,Mustard oil
beck,row39,DMM1039,μυρσίνινον,Oil of myrtle
beck,row40,DMM1040,δάφνινον,Oil of sweet bay
beck,row41,DMM1041,σχίνινον,Oil of mastic
beck,row42,DMM1042,μαστίχινον,Mastic oil
beck,row43,DMM1043,ῥοδίνου σκευασία,Preparation of unguent of roses
beck,row44,DMM1044,ἐλατίνου σκευασία,Preparation of unguent of date palm
beck,row45,DMM1045,μελίνου σκευασία,Preparation of unguent of quince
beck,row46,DMM1046,οἰνανθίνου σκευασία,Preparation of unguent of wild vine inflorescence
beck,row47,DMM1047,τελίνου σκευασία,Preparation of unguent of fenugreek
beck,row48,DMM1048,σαμψουχίνου σκευασία,Preparation of unguent of marjoram
beck,row49,DMM1049,ὠκιμίνου σκευασία,Preparation of unguent of basil
beck,row50,DMM1050,ἀβροτονίνου σκευασία,Preparation of unguent of wormwood
beck,row51,DMM1051,ἀνηθίνου σκευασία,Preparation of unguent of dill
beck,row52,DMM1052,σουσίνου σκευασία,Preparation of unguent of lily
beck,row53,DMM1053,ναρκίσσινον,Preparation of unguent of narcissus
beck,row54,DMM1054,κρόκινον,Preparation of unguent of saffron
beck,row55,DMM1055,κυπρίνου στύψις καὶ σκευασία,Thickening and preparation of unguent of henna
beck,row56,DMM1056,ἰρίνου στύψις,Thickening of unguent of iris
beck,row57,DMM1057,γλεύκινον,Unguent of new sweet wine
beck,row58,DMM1058,ἀμαράκινον,Unguent of marjoram
beck,row59,DMM1059,μετώπιον,Metopion
beck,row60,DMM1060,στακτή,Stacte
beck,row61,DMM1061,κιναμώμινον,Unguent of cinnamon
beck,row62,DMM1062,νάρδινον μύρον,Unguent of spikenard
beck,row63,DMM1063,μαλαβάθρινον,Unguent of the leaf of malabar
beck,row64,DMM1064,σμύρνα,Myrrh
beck,row65,DMM1065,Βοιωτικὴ σμύρνα,Boiotian myrrh
beck,row66,DMM1066,στύραξ,Storax
beck,row67,DMM1067,βδέλλιον,Bdellium
beck,row68,DMM1068,λίβανος,Frankincense
beck,row69,DMM1069,πίτυς,Pitys pine
beck,row70,DMM1070,σχῖνος,Mastic
beck,row71,DMM1071,τέρμινθος,Terebinth
beck,row72,DMM1072,πίσσα,Pitch
beck,row73,DMM1073,ἀσφαλτος,Asphalt
beck,row74,DMM1074,κυπάρισσος,Cypress
beck,row75,DMM1075,ἄρκευθος,Juniper
beck,row76,DMM1076,βράθυ,Savin
beck,row77,DMM1077,κέδρος,Cedar
beck,row78,DMM1078,δάφνη,Sweet bay
beck,row79,DMM1079,πλάτανος,Plane
beck,row80,DMM1080,μελία,Manna ash
beck,row81,DMM1081,λεύκη,White poplar
beck,row82,DMM1082,μάκιρ,Mace
beck,row83,DMM1083,αἴγειρος,Black poplar
beck,row84,DMM1084,πτελέα,Elm
beck,row85,DMM1085,κάλαμος,Reed
beck,row86,DMM1086,πάπυρος,Papyrus
beck,row87,DMM1087,μυρίκη,Tamarisk
beck,row88,DMM1088,ἐρείκη,Tree heath
beck,row89,DMM1089,ἀκακαλλίς,Acacallis
beck,row90,DMM1090,ῥάμνος,Boxthorn
beck,row91,DMM1091,ἅλιμον,Tree purslane
beck,row92,DMM1092,παλίουρος,Christ’s-thorn
beck,row93,DMM1093,ὀξυάκανθα,Fiery thorn
beck,row94,DMM1094,κυνόσβατος,White rose
beck,row95,DMM1095,κύπρος,Henna
beck,row96,DMM1096,φιλύρα,Lime tree
beck,row97,DMM1097,κισθός,Rock rose
beck,row98,DMM1098,ἔβενος,Ebony
