edition,edition_entry_id,desmoulins_page,desmoulins_chapter,desmoulins_term
desmoulins,row2,17,Chap. I,De la flambe.
desmoulins,row3,19,Chap. II,De l'acore.
desmoulins,row4,22,Chap. III,De meon.
desmoulins,row5,22,Chap. IIII,Du souchet.
desmoulins,row6,23,Chap. V,Du cardamome.
desmoulins,row7,25,Chap. VI,Du nard Indic.
desmoulins,row8,27,Chap. VII,Du nard celtic.
desmoulins,row9,29,Chap. VIII,Du nard de Montaigne.
desmoulins,row10,30,Chap. IX,Du cabaret.
desmoulins,row11,31,Chap. X,"De phu, ou grande valeriane."
desmoulins,row12,33,Chap. XI,Du malabatre.
desmoulins,row13,35,Chap. XII,De la canelle.
desmoulins,row14,35,Chap. XIII,Du cinamome.
desmoulins,row15,41,Chap. XIIII,De l'amome.
desmoulins,row16,42,Chap. XV,Du coste.
desmoulins,row17,43,Chap. XVI,Du ionc odorant.
desmoulins,row18,44,Chap. XVII,De la canne odorante.
desmoulins,row19,46,Chap. XVIII,Du baume.
desmoulins,row20,48,Chap. XIX,De l'aspalathe.
desmoulins,row21,48,Chap. XX,De la mousse d'arbre.
desmoulins,row22,51,Chap. XXI,De l'agalloche ou boi d'aloes.
desmoulins,row23,52,Chap. XXII,Du narcaphthe.
desmoulins,row24,52,Chap. XXIII,Du cancame.
desmoulins,row25,54,Chap. XXIIII,De cyphi.
desmoulins,row26,54,Chap. XXV,Du saffran.
desmoulins,row27,54,Chap. XXVI,Du crocomagme.
desmoulins,row28,55,Chap. XXVII,De l'aunee.
desmoulins,row29,56,Chap. XXVIII,"De l'huile omphacin, et de tout huile en general."
desmoulins,row30,57,Chap. XXIX,De l'huile d'olives sauvages.
desmoulins,row31,57,Chap. XXX,De l'huile cycionien.
desmoulins,row32,57,Chap. XXXI,Des raclures.
desmoulins,row33,58,Chap. XXXII,De elaeomeli.
desmoulins,row34,58,Chapitre XXXIII,De l'huile de la paulme de Christ.
desmoulins,row35,59,Chap. XXXIIII,De l'huile d'amandes.
desmoulins,row36,59,Chap. XXXV,"De l'huile de ben, sesamin, et de noix."
desmoulins,row37,60,Chap. XXXVI,"De l'huile de iusquiame, de la graine de thymelee, de saffran sauvage, des semences de Réfort, de Nielle &amp; de Moutarde."
desmoulins,row38,60,Chap. XXXVII,De l'huile de meurte.
desmoulins,row39,61,Chap. XXXVIII,De l'huile laurin.
desmoulins,row40,61,Chap. XXXIX,De l'huile de lentisque et terebinthe.
desmoulins,row41,61,Chap. XL,De l'huile de mastic.
desmoulins,row42,62,Chap. XLI,De la composition des unguens.
desmoulins,row43,62,Chap. XLII,De l'unguent rosat.
desmoulins,row44,62,Chap. XLIII,De l'unguent elatin.
desmoulins,row45,63,Chap. XLIIII,De l'unguent melin.
desmoulins,row46,63,Chap. XLV,De l'unguent enanthin.
desmoulins,row47,63,Chap. XLVI,De l'unguent telin.
desmoulins,row48,63,Chap. XLVII,De l'unguent sampsuchin.
desmoulins,row49,64,Chap. XLVIII,"De l'unguent du basilic, ou ocimin."
desmoulins,row50,64,Chap. XLIX,"De l'unguent d'Auronne, ou abrotonin."
desmoulins,row51,64,Chap. L,De l'unguent anethin.
