edition,edition_entry_id,gunther_chapter,gunther_division,gunther_term,gunther_description
gunther,row1,1.1,div-2,IRIS,Iris Germanica or I. florentina
gunther,row2,1.2,div-3,AKORON,Iris Pseudacorus
gunther,row3,1.3,div-4,MEON,Meum Athamanticum
gunther,row4,1.4,div-5,KUPEIROS,Cyperus rotundus
gunther,row5,1.5,div-6,KARDAMOMON,Elettaria Cardamomum
gunther,row6,1.6,div-7,NARDOS,(I) Nardostachys Jatamansi (‘Indian’)
gunther,row7,1.7,div-8,NARDOS KELTIKE,Valeriana celtica
gunther,row8,1.8,div-9,NARDOS OREINE,Valeriana tuberosa
gunther,row9,1.9,div-10,ASARON,Asarum europaeum
gunther,row10,1.10,div-11,PHOU,Valeriana Dioscoridis not V. officinalis
gunther,row12,1.12,div-12,KASSIA,Cinnamomum iners
gunther,row13,1.13,div-13,KINAMOMON,Cinnamomum Cassia
gunther,row14,1.14,div-14,AMOMON,Amomum subulatum or Cissus vitiginea
gunther,row15,1.15,div-15,KOSTOS,Saussurea Lappa
gunther,row16,1.16,div-16,SCHOINOS,Cymbopogon Schoenanthus
gunther,row18,1.18,div-17,BALSAMON,Balsamodendron Opobalsamum
gunther,row19,1.19,div-18,ASPALATHOS,Cytisus lanigerus or Genista acanthoclada
gunther,row20,1.20,div-19,BRUON,Usnea sp.
gunther,row21,1.21,div-20,AGALLOCHON,Aloexylon Agallochon
gunther,row23,1.23,div-21,KANKAMON,Amyris sp.
gunther,row25,1.25,div-22,KROKOS,Crocus sativus
gunther,row27,1.27,div-23,ELENION,Inula Helenium. Elecampane
gunther,row28,1.28,div-24,ELENION AIGUPTION,Calamintha incana Calamint
gunther,row29,1.29,div-25,ELAION OMOTRIBES,Oil of Unripe Olives
gunther,row30,1.30,div-26,ELAION KOINON,Olive Oil
gunther,row31,1.31,div-27,ELAION AGRIAS ELAIAS,Wild Olive Oil
gunther,row32,1.32,div-28,ELAION LEUKON,To whiten Oil
gunther,row33,1.33,div-29,ELAION SIKUONION,Sicyonian Oil
gunther,row34,1.34,div-30,RUPOS,Grime from Baths
gunther,row35,1.35,div-31,RUPOS PALAISTRA,Grime from the Wrestling School
gunther,row36,1.36,div-32,RUPOS GYMNASION,Grime from the Gymnasium Walls
gunther,row38,1.38,div-33,KIKINON ELAION,Castor Oil or Croton Oil
gunther,row39,1.39,div-34,ELAION AMYGDALINON,Almond Oil
gunther,row40,1.40,div-35,BALANINON ELAION,Oil of Balanites aegyptiaca
gunther,row41,1.41,div-36,ELAION SESAMINON KAI KARUINON,Oil of Sesame and Walnut Oil
gunther,row42,1.42,div-37,YOSKUAMINON ELAION,Oil of Henbane
gunther,row43,1.43,div-38,KNIDELAION,Oil of Daphne
gunther,row44,1.44,div-39,KNIKELAION,Oil of Bastard Saffron (Carthamus tinctorius)
gunther,row45,1.45,div-40,RAPHANELAION,Oil of Radish Seed
gunther,row46,1.46,div-41,MELANTHELAION,Oil of Chamomile
gunther,row47,1.47,div-42,SINAPELAION,Oil of Mustard
gunther,row48,1.48,div-43,MURSINELAION,Oil of Myrtle
gunther,row49,1.49,div-44,DAPHNELAION,Oil of Laurel
gunther,row50,1.50,div-45,SCHINELAION,Lentiscinum and Terebinthinum
gunther,row51,1.51,div-46,MASTICHELAION,Mastich
gunther,row52,1.52,div-47,MURON SUNTHESIS,Medicinal Ointments
gunther,row53,1.53,div-48,RHODINON,Preparation of Rosaceum
gunther,row54,1.54,div-49,ELATINON,Preparation of Elatine
gunther,row55,1.55,div-50,MELINON,Preparation of Oil of Quince
gunther,row56,1.56,div-51,OINANTHINON,Preparation of Oil of Wild Grapes
gunther,row57,1.57,div-52,TELINON,Oil of Fenugreek
gunther,row58,1.58,div-53,SAMPSUCHINON,Oil of Marjoram
gunther,row59,1.59,div-54,OKIMINON,Oil of Basil
gunther,row60,1.60,div-55,ABROTONINON,Oil of Southernwood
gunther,row61,1.61,div-56,ANETHINON,Oil of Dill
gunther,row62,1.62,div-57,SUSINON,Oil of Lilies
gunther,row63,1.63,div-58,NARCISSINON,Oil of Narcissus
gunther,row65,1.65,div-59,KUPRINON,Oil of Cuperos
gunther,row66,1.66,div-60,IRINON,Iris Oil
gunther,row67,1.67,div-61,GLEUCINON,Oil of Must
gunther,row68,1.68,div-62,AMARAKINON,Oil of Sweet Marjoram
gunther,row75,1.75,div-63,NARDINON MURON,Nard Ointment
gunther,row77,1.77,div-64,SMURNA,Amyris Hafal. Myrrh
gunther,row78,1.78,div-65,BOIOTIKE SMURNA,Boeotian Myrrh
gunther,row79,1.79,div-66,STURAX,Styrax officinalis
gunther,row80,1.80,div-67,BDELLION,"Gum of Doum Palm, Hyphaene thebaica"
gunther,row81,1.81,div-68,LIBANON THUS. Frankincense,Gum of Boswellia Carteri
gunther,row82,1.82,div-69,PHILOIOS LIBANOU,Bark of Frankincense tree
gunther,row83,1.83,div-70,LIBANOU MANNA,Manna of Frankincense
gunther,row84,1.84,div-71,LIBANOU AITHALIE,Fuligo of Frankincense
gunther,row85,1.85,div-72,LIGNUOS SKEUASIA,85. LIGNUOS SKEUASIA.
gunther,row86,1.86,div-73,PITUS,Pinus halepensis
gunther,row87,1.87,div-74,PITUIDES,Pine-seeds
gunther,row88,1.88,div-75,STOBILOI,Pine-cones
gunther,row89,1.89,div-76,SCHINOS,Pistacia Lentiscus
gunther,row90,1.90,div-77,SCHININE RETINE,Mastick
gunther,row91,1.91,div-78,TERMINTHOS,Pistacia Terebinthus
gunther,row92,1.92,div-79,RETINA ALLAS,Resins of various Conifers
gunther,row93,1.93,div-80,LIGNUOS RETINES,Soot from Resin
gunther,row94,1.94,div-81,PISSA UGRA,Liquid Pitch or Stockholm Tar
gunther,row95,1.95,div-82,PISSELAION,Pitch Oil
gunther,row96,1.96,div-83,LINGUOS UGRAS PISSES,Soot from burning Pitch
gunther,row97,1.97,div-84,PISSA XERA,Dry Pitch
gunther,row102,1.102,div-85,KUPARISSOS,Cupressus sumpervirens
gunther,row103,1.103,div-86,ARKEOTHOS MEGALE,Juniperus phoenicea?
gunther,row104,1.104,div-87,BRATHUS,Juniperus sabina
gunther,row105,1.105,div-88,KEDROS,Juniperus phoenicea
gunther,row106,1.106,div-89,DAPHNE,Laurus nobilis
gunther,row107,1.107,div-90,PLATANOS,Platanus orientalis
gunther,row108,1.108,div-91,MELIA,Fraxinus Ornus
gunther,row109,1.109,div-92,LEUKE,Populus alba
gunther,row111,1.111,div-93,PTELEA,Ulmus campestris
gunther,row112,1.112,div-94,SAPROTES XYLON,Dry rot
gunther,row113,1.113,div-95,AIGEIROS,Populus nigra. Black Poplar
gunther,row114,1.114,div-96,KALAMOS NASTOS,Cenchrus frutescens
gunther,row115,1.115,div-97,PAPUROS,Papyrus antiquorum. Papyrus
gunther,row116,1.116,div-98,MURIKE,Tamarix Gallica
gunther,row117,1.117,div-99,EREIKA,Erica herbacea or E. arborea
gunther,row118,1.118,div-100,AKAKALIS,Tamarix orientalis
