edition,edition_entry_id,laguna_scan_id,laguna_book,laguna_page,laguna_chapter,laguna_title
laguna,row2,23,Libro primero,11,Cap I,De la Iris
laguna,row3,24,Libro primero,12,Cap II,Del Acoro
laguna,row4,25,Libro primero,13,Cap III,Del Meu
laguna,row5,26,Libro primero,14,Cap IIII,Del Cypero
laguna,row6,27,Libro primero,15,Cap V,Del Cardamomo
laguna,row7,28,Libro primero,16,Cap VI,Del Nardo
laguna,row8,29,Libro primero,17,Cap VII,"Del Nardo Gallico, o Celtico"
laguna,row9,30,Libro primero,18,Cap VIII,Del Nardo Montano
laguna,row10,30,Libro primero,18,Cap IX,Del Afaro
laguna,row11,31,Libro primero,19,Cap X,Del Phu
laguna,row12,32,Libro primero,20,Cap XI,Del Malabathro
laguna,row13,33,Libro primero,21,Cap XII,De la Cassia
laguna,row14,34,Libro primero,22,Cap XIII,Del Cinnamomo
laguna,row15,35,Libro primero,23,Cap XIIII,Del Amomo
laguna,row16,36,Libro primero,24,Cap XV,Del Costo
laguna,row17,36,Libro primero,24,Cap XVI,Del Junco Oloroso
laguna,row18,37,Libro primero,25,Cap XVII,Del Calamo Aromatico
laguna,row19,38,Libro primero,26,Cap XVIII,Del Balsamo
laguna,row20,40,Libro primero,28,Cap XIX,Del Aspalato
laguna,row21,40,Libro primero,28,Cap XX,Del Musco de los Arboles
laguna,row22,42,Libro primero,30,Cap XXI,Del Agaloco
laguna,row23,42,Libro primero,30,Cap XXII,Del Nascaphto
laguna,row24,42,Libro primero,30,Cap XXIII,Del Cancamo
laguna,row25,43,Libro primero,31,Cap XXIIII,Del Cyphi
laguna,row26,43,Libro primero,31,Cap XXV,Del Açafran
laguna,row27,44,Libro primero,32,Cap XXVI,Del Crocomagma
laguna,row28,44,Libro primero,32,Cap XXVII,Del Helenio
laguna,row29,45,Libro primero,33,Cap XXVIII,Del Azeyte
laguna,row30,47,Libro primero,35,Cap XXIX,Del Oleomiel
laguna,row31,47,Libro primero,35,Cap XXX,"Del Oleo Ricino, o Cicino"
laguna,row32,48,Libro primero,36,Cap XXXI,Del Azeyte de Almendras
laguna,row33,48,Libro primero,36,Cap XXXII,"Del Oleo Balanino, Sesamino, y de Nuezes"
laguna,row34,49,Libro primero,37,Cap XXXIII,"De Oleo de Hyoscyamo, de Grano Gnidio, de Cartamo"
laguna,row35,49,Libro primero,37,Cap XXXIIII,Del Oleo Myrtino
laguna,row36,50,Libro primero,38,Cap XXXV,Del Oleo Laurino
laguna,row37,50,Libro primero,38,Cap XXXVI,
laguna,row38,50,Libro primero,38,Cap XXXVII,
laguna,row39,50,Libro primero,38,Cap XXXVIII,
laguna,row40,50,Libro primero,38,Cap XXXIX,Del Unguento rosado
laguna,row41,51,Libro primero,39,Cap XL,Del Unguento Elatino
laguna,row42,51,Libro primero,39,Cap XLI,Del Melino
laguna,row43,52,Libro primero,40,Cap XLII,Del Unguento Enantino
laguna,row44,52,Libro primero,40,Cap XLIII,Del Unguento Telino
laguna,row45,52,Libro primero,40,Cap XLIIII,Del Unguento sampsuchino
laguna,row46,53,Libro primero,41,Cap XLV,"Del Unguento Ocimino, que quiere dezir de Albahaca"
laguna,row47,53,Libro primero,41,Cap XLVI,
laguna,row48,53,Libro primero,41,Cap XLVII,
laguna,row49,53,Libro primero,41,Cap XLVIII,Del Unguento de Lirio Ilamado Susino
laguna,row50,54,Libro primero,42,Cap XLIX,Del Unguento del Narcisso
laguna,row51,54,Libro primero,42,Cap L,"Del Unguento Crocino, que quiere dezir de Açafran"
laguna,row52,55,Libro primero,43,Cap LI,Del Unguento Cyprino
laguna,row53,55,Libro primero,43,Cap LII,Del Unguento Irino
laguna,row54,56,Libro primero,44,Cap LIII,Del Gleucino Unguento
laguna,row55,56,Libro primero,44,Cap LIIII,Del Amaracino Unguento
laguna,row56,56,Libro primero,44,Cap LV,Del Unguento Megalino
laguna,row57,57,Libro primero,45,Cap LV,Del Unguento Hedycroo
laguna,row58,57,Libro primero,45,Cap LVI,
laguna,row59,57,Libro primero,45,Cap LVII,
laguna,row60,57,Libro primero,45,Cap LVIII,De la Stacte
laguna,row61,58,Libro primero,46,Cap LIX,Del Unguento Cinnamomino
laguna,row62,58,Libro primero,46,Cap LX,Del Nardino Unguento
laguna,row63,58,Libro primero,46,Cap LXI,Del Malabathrino
