edition,edition_entry_id,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin
matthiolo,row1,I,1.1,Ἴρις,
matthiolo,row2,II,1.2,Ἄκορον,
matthiolo,row3,III,1.3,Μῆον,MEON
matthiolo,row4,IV,1.4,Κύπερος,CYPERUS
matthiolo,row5,V,1.5,Καρδάμωμον,CARDAMOMUM
matthiolo,row6,VI,1.6,Νάρδος,NARDUM
matthiolo,row7,VII,1.7,Νάρδος Κελτική,NARDUM CELTICUM
matthiolo,row8,VIII,1.8,Νάρδος ὀρειτή,NARDUM MONTANUM
matthiolo,row9,IX,1.9,Ἄσαρον,ASARUM
matthiolo,row10,X,1.1,Φοῦ,PHU
matthiolo,row11,XI,1.11,Μαλάβαθρον,MALABATHRUM
matthiolo,row12,XII,1.12,Κασσία,CASSIA
matthiolo,row13,XIII,1.13,Κιννάμωμον,CINNAMOMUM
matthiolo,row14,XIV,1.14,Ἄμωμον,AMOMUM
matthiolo,row15,XV,1.15,Κόστος,COSTUS
matthiolo,row16,XVI,1.16,Σχοῖνος ἀρωματικός,IUNCUS ODORATUS
matthiolo,row17,XVII,1.17,Κάλαμος ἀρωματικός,CALAMUS ODORATUS
matthiolo,row18,XVIII,1.18,Βάλσαμον,BALSAMUM
matthiolo,row19,XIX,1.19,Ἀσπάλαθος,ASPALATHUS
matthiolo,row20,XX,1.2,Βρύον,MUSCUS
matthiolo,row21,XXI,1.21,Ἀγάλλοχον,AGALLOCHUM
matthiolo,row22,XXII,1.22,Νάρκαφθον,NARCAPHTHUM
matthiolo,row23,XXIII,1.23,Κάγκαμον,CANCAMUM
matthiolo,row24,XXIV,1.24,Κῦφι,CYPHI
matthiolo,row25,XXV,1.25,Κρόκος,CROCUM
matthiolo,row26,XXVI,1.26,Κροκόμαγμα,CROCOMAGMA
matthiolo,row27,XXVII,1.27,Ἑλένιον,HELENIUM
matthiolo,row28,XXVIII,1.28,"Ὀμφάκινον, καὶ πᾶν ἔλαιον","OMPHACINUM, ET OMNE OLEUM"
matthiolo,row29,XXIX,1.29,Ἔλαιον τῆς ἀγριελαίης,OLEUM SYLVESTRIS OLIVAE
matthiolo,row30,XXX,1.3,Σικυώνιον ἔλαιον,SICYONIUM OLEUM
matthiolo,row31,XXXI,1.31,Ῥύπος,STRIGMENTUM
matthiolo,row32,XXXII,1.32,Ἐλαιόμελι,ELAEOMELI
