edition,edition_entry_id,ruel_page_scan,ruel_book,ruel_unknown_val,ruel_chapter,ruel_title_latin,ruel_folio
ruel,row1,26,Liber primus,0,Cap I,De Iri.,
ruel,row2,26,Liber primus,0,Cap II,De Acoro,
ruel,row3,27,Liber primus,3,Cap III,De Meo,3r
ruel,row4,27,Liber primus,3,Cap IIII,De Cypiro,3r
ruel,row5,27,Liber primus,3,Cap V,De Cardamomo,3r
ruel,row6,28,Liber primus,0,Cap VI,De Nardo,3v
ruel,row7,28,Liber primus,0,Cap VII,De Nardo Celtico,3v
ruel,row8,29,Liber primus,4,Cap VIII,De montano Nardo,4r
ruel,row9,29,Liber primus,4,Cap IX,De Afaro,4r
ruel,row10,29,Liber primus,4,Cap X,De Phu,4r
ruel,row11,30,Liber primus,0,Cap XI,De Malabatro,4v
ruel,row12,30,Liber primus,0,Cap XII,De Casia,4v
ruel,row13,30,Liber primus,0,Cap XIII,De Pseudocasia,4v
ruel,row14,31,Liber primus,5,Cap XIIII,De Cinnamomo,5r
ruel,row15,31,Liber primus,5,Cap XV,De pseudocinnamo,5r
ruel,row16,32,Liber primus,0,Cap XVI,De Amomo,5v
ruel,row17,32,Liber primus,0,Cap XVII,De Costo,5v
ruel,row18,33,Liber primus,6,Cap XVIII,De odorato Junco,6r
ruel,row19,33,Liber primus,6,Cap XIX,De Calamo odorato,6r
ruel,row20,33,Liber primus,6,Cap XX,De Balsamo,6r
ruel,row21,33,Liber primus,6,Cap XXI,De opobalsamo,6r
ruel,row22,34,Liber primus,0,Cap XXII,De Xylobalsamo,6v
ruel,row23,34,Liber primus,0,Cap XXIII,De aspalatho,6v
ruel,row24,35,Liber primus,7,Cap XXIIII,De musco,7r
ruel,row25,35,Liber primus,7,Cap XXV,De agallocho,7r
ruel,row26,35,Liber primus,7,Cap XXVI,De narcaphto,7r
ruel,row27,35,Liber primus,7,Cap XXVII,De Cancamo,7r
ruel,row28,35,Liber primus,7,Cap XXVIII,De Cyphi,7r
ruel,row29,36,Liber primus,0,Cap XXIX,De croco,7v
ruel,row30,36,Liber primus,0,Cap XXX,De Crocomagnate,7v
ruel,row31,37,Liber primus,8,Cap XXXI,De Helenio,8r
ruel,row32,37,Liber primus,8,Cap XXXII,De altero Helenio,8r
ruel,row33,37,Liber primus,8,Cap XXXIII,De omphacino oleo,8r
ruel,row34,38,Liber primus,0,Cap XXXIIII,De oleo sylvestris oliuae,8v
ruel,row35,38,Liber primus,0,Cap XXXV,De Sicyonio,8v
ruel,row36,38,Liber primus,0,Cap XXXVI,De strigmentis balnearum,8v
ruel,row37,38,Liber primus,0,Cap XXXVII,De Elaeomelite,8v
