edition,edition_entry_id,wechel_scan_id,wechel_book,wechel_page,wechel_chapter,wechel_title
wechel,row2,38,Liber primus,4,Cap. I,De Iride.
wechel,row3,40,Liber primus,6,Cap. II,De Acoro.
wechel,row4,40,Liber primus,6,Cap. III,De Meo.
wechel,row5,40,Liber primus,6,Cap. IIII,De Cypero.
wechel,row6,41,Liber primus,7,Cap. V,De Cardamomo.
wechel,row7,42,Liber primus,8,Cap. VI,De Nardo.
wechel,row8,43,Liber primus,9,Cap. VII,De Nardo Celtica.
wechel,row9,44,Liber primus,10,Cap. VIII,De Nardo Montana.
wechel,row10,44,Liber primus,10,Cap. IX,De Asaro.
wechel,row11,44,Liber primus,10,Cap. X,De Phu.
wechel,row12,45,Liber primus,11,Cap. XI,De Malabathro.
wechel,row13,45,Liber primus,11,Cap. XII,De Cassia.
wechel,row14,46,Liber primus,12,Cap. XIII,De Cinnamomo.
wechel,row15,48,Liber primus,14,Cap. XIIII,De Amomo.
wechel,row16,49,Liber primus,15,Cap. XV,De Costo.
wechel,row17,49,Liber primus,15,Cap. XVI,De Iunco odorato.
wechel,row18,50,Liber primus,16,Cap. XVII,De Calamo odorato.
wechel,row19,50,Liber primus,16,Cap. XVIII,De Balsamo.
wechel,row20,52,Liber primus,18,Cap. XIX,De Aspalatho.
wechel,row21,53,Liber primus,19,Cap. XX,De Musco.
wechel,row22,53,Liber primus,19,Cap. XXI,De Agallocho.
wechel,row23,53,Liber primus,19,Cap. XXII,De Nascaphtho.
wechel,row24,53,Liber primus,19,Cap. XXIII,De Cancamo.
wechel,row25,54,Liber primus,20,Cap. XXIIII,De Cyphi.
wechel,row26,54,Liber primus,20,Cap. XXV,De Croco.
wechel,row27,55,Liber primus,21,Cap. XXVI,De Crocomagmate.
wechel,row28,56,Liber primus,22,Cap. XXVII,De Helenio.
wechel,row29,56,Liber primus,22,Cap. XXVIII,De Helenio Aegyptio.
wechel,row30,56,Liber primus,22,Cap. XXIX,De oleo omphacino.
wechel,row31,57,Liber primus,23,Cap. XXX,De oleo communi.
wechel,row32,57,Liber primus,23,Cap. XXXI,De oleo sylvestris olivae.
wechel,row33,57,Liber primus,23,Cap. XXXII,Oleum candidum.
wechel,row34,58,Liber primus,24,Cap. XXXIII,De Sicyonio oleo.
wechel,row35,58,Liber primus,24,Cap. XXXIIII,Strigmenta à balneis.
