edition,edition_entry_id,wellmann_id,wellmann_book,wellmann_chapter,wellmann_greek_text
wellmann,row1,w-1,1,1,ἶρις Ἰλλυρική; ἶρις Μακεδονική; ἶρις Λιβυκὴ
wellmann,row2,w-2,1,2,ἄκορον
wellmann,row3,w-3,1,3,μῆον
wellmann,row4,w-4,1,4,κύπερος
wellmann,row5,w-5,1,5,ἕτερον εἶδος κυπέρου
wellmann,row6,w-6,1,6,καρδάμωμον
wellmann,row7,w-7,1,7,νάρδος
wellmann,row8,w-8,1,8,Κελτικὴ νάρδος
wellmann,row9,w-9,1,9,ὀρεινὴ νάρδος
wellmann,row10,w-10,1,10,ἄσαρον
wellmann,row11,w-11,1,11,φοῦ
wellmann,row12,w-12,1,12,μαλάβαθρον
wellmann,row13,w-13,1,13,κασσία
wellmann,row14,w-14,1,14,κινάμωμον
wellmann,row15,w-15,1,15,ἄμωμον
wellmann,row16,w-16,1,16,κόστος
wellmann,row17,w-17,1,17,σχοῖνος
wellmann,row18,w-18,1,18,κάλαμος ἀρωματικός
wellmann,row19,w-19,1,19,βάλσαμον
wellmann,row20,w-20,1,20,ἀσπάλαθος
wellmann,row21,w-21,1,21,βρύον
wellmann,row22,w-22,1,22,ἀγάλοχον
wellmann,row23,w-23,1,23,νάσκαφθον
wellmann,row24,w-24,1,24,κάγκαμον
wellmann,row25,w-25,1,25,κῦφι
wellmann,row26,w-26,1,26,κρόκος
wellmann,row27,w-27,1,27,κροκόμαγμα
wellmann,row28,w-28,1,28,ἐλένιον
wellmann,row29,w-29,1,29,ἐλένιον ἄλλο
wellmann,row30,w-30,1,30,ἔλαιον
wellmann,row31,w-31,1,31,ἐλαιόμελι
wellmann,row32,w-32,1,32,κίκινον
wellmann,row33,w-33,1,33,ἀμυγδάλινον
wellmann,row34,w-34,1,34,βαλάνινον
wellmann,row35,w-35,1,35,ὑοσκυάμινον
wellmann,row36,w-36,1,36,"Κνιδίου κόκκου, ἔλαιον σκευάζεται διὰ τοῦ"
