id,type,modern_name,wikidata_id,wikipedia_url,notes
iris_germanica,plant,Iris germanica,,,
iris_florentina,plant,Iris florentina,,,
acorus_calamus,plant,Acorus calamus,,,
iris,plant,Iris,,,
pseudacorus,plant,Pseudacorus,,,
iris_pseudacorus,plant,Iris pseudacorus,,,
athamantha_meum,plant,Athamantha meum,,,
athamanticum,plant,Athamanticum,,,
meum,plant,Meum,,,
meum_athamanticum,plant,Meum athamanticum,,,
cyperus_longus,plant,Cyperus longus,,,
cyperus_rotundus,plant,Cyperus rotundus,,,
curcuma_longa,plant,Curcuma longa,,,
cyperus_esculentus,plant,Cyperus esculentus,,,
alpinia_cardamomum,plant,Alpinia cardamomum,,,
elettaria_cardamomum,plant,Elettaria cardamomum,,,
elettaria,plant,Elettaria,,,
cardamomum,plant,Cardamomum,,,
patrinia_jatamansi,plant,Patrinia jatamansi,,,
valeriana_jatamansi,plant,Valeriana jatamansi,,,
patrinia_scabiosaefolia,plant,Patrinia scabiosaefolia,,,
jatamansi,plant,Jatamansi,,,
nardostachys,plant,Nardostachys,,,
patrinia_scabiosifolia,plant,Patrinia scabiosifolia,,,
valeriana_celtica,plant,Valeriana celtica,,,
nardus_tuberosa,plant,Nardus tuberosa,,,
valeriana_tuberosa,plant,Valeriana tuberosa,,,
asarum_europaeum,plant,Asarum europaeum,,,
valeriana_officinalis,plant,Valeriana officinalis,,,
valeriana_dioscorides,plant,Valeriana dioscorides,,,
dioscoridis_not_v,plant,Dioscoridis not V.,,,
valeriana_phu,plant,Valeriana phu,,,
laurus_cassia,plant,Laurus cassia,,,
cinnamomum_cassia,plant,Cinnamomum cassia,,,
pogostemon_patchouli,plant,Pogostemon patchouli,,,
cinnamomum,plant,Cinnamomum,,,
laurineae,plant,Laurineae,,,
cinnamomum_iners,plant,Cinnamomum iners,,,
cinnamomum_aromaticum,plant,Cinnamomum aromaticum,,,
amomum_verum,plant,Amomum verum,,,
cassia,plant,Cassia,,,
cinnamomum_zeylanicum_bl,plant,Cinnamomum zeylanicum Bl.,,,
cinnamomum_tamala,plant,Cinnamomum tamala,,,
cissus_vitiginea,plant,Cissus vitiginea,,,
amomum_subulatum,plant,Amomum subulatum,,,
amomum_cardamomum,plant,Amomum cardamomum,,,
costus_speciosus,plant,Costus speciosus,,,
costus_arabicus,plant,Costus arabicus,,,
saussurea,plant,Saussurea,,,
lappa,plant,Lappa,,,
saussurea_lappa,plant,Saussurea lappa,,,
andropogon_schoenanthus,plant,Andropogon schoenanthus,,,
schoenanthus,plant,Schoenanthus,,,
cymbopogon,plant,Cymbopogon,,,
cymbopogon_schoenanthus,plant,Cymbopogon schoenanthus,,,
calamus_aromaticus,plant,Calamus aromaticus,,,
amyris_gileadensis,plant,Amyris gileadensis,,,
balsamodendron_gileadense,plant,Balsamodendron gileadense,,,
opobalsamum,plant,Opobalsamum,,,
balsamodendron,plant,Balsamodendron,,,
commiphora_opobalsamum,plant,Commiphora opobalsamum,,,
aspalathos,plant,Aspalathos,,,
genista_acanthoclada,plant,Genista acanthoclada,,,
cytisus_lanigerus,plant,Cytisus lanigerus,,,
alhagi_maurorum,plant,Alhagi maurorum,,,
usnea_sp,plant,Usnea sp,,,
evernia,plant,Evernia,,,
agallochon,plant,Agallochon,,,
aloexylon,plant,Aloexylon,,,
aquilaria_agallocha,plant,Aquilaria agallocha,,,
ficus_spec,plant,Ficus spec,,,
butea_frondosa,plant,Butea frondosa,,,
aleurites_laccifera,plant,Aleurites laccifera,,,
amyris,plant,Amyris,,,
commiphora_kataf,plant,Commiphora kataf,,,
