id,edition_id,ref,segment,term,term_greek,term_latin,page,div_id,seg_id,url,notes
wellmann:1.1,wellmann,1.1,,ἶρις Ἰλλυρική,,,5,div-13,,,
berendes:1.1,berendes,1.1,,Iris,ἴρις,,023,div-2,,,
beck:1.1,beck,1.1,,iris,ἶρις,,,div-21,,,
gunther:1.1,gunther,1.1,,Iris,,,,div-2,,,
laguna:1.1,laguna,1.1,,lirio,ἴρις Ἰλλυρική,,1,div-1,,,
barbaro:I,barbaro,I,,Iris illyrica,,,1,,,,
lusitanus:1,lusitanus,1,,iris,,,3,,,,
monardes:I,monardes,I,,flambe,,,17,,,,
matthioli:1.1,matthioli,1.1,,iris,ἴρις,,77,div-14,,,
desmoulins:1.1,desmoulins,1.1,,flambe,,,3,,,,
wellmann:1.2,wellmann,1.2,,ἄκορον,,,7,div-335,,,
berendes:1.2,berendes,1.2,,Akoron,ἄκορον,,025,div-4,,,
beck:1.2,beck,1.2,,Yellow flag,ἄκορον,,,div-22,,,
gunther:1.2,gunther,1.2,,AKORON,,,,div-3,,,
laguna:1.2,laguna,1.2,,ácoro bastardo,﻿ἄκορον,,2,div-4,,,
"barbaro:II",barbaro,"II",,Acorus,,,1,,,,
lusitanus:2,lusitanus,2,,De acoro,,,5,,,,
monardes:II,monardes,II,,De l'acore,,,19,,,,
desmoulins:1.2,desmoulins,1.2,,L'Acorum,,,4,,,,
wellmann:1.3,wellmann,1.3,,μῆον,,,8,div-20,,,
berendes:1.3,berendes,1.3,,Bärwurz,μῆον,,026,div-6,,,
beck:1.3,beck,1.3,,Baldmoney,μῆον,,,div-23,,,
gunther:1.3,gunther,1.3,,MEON,,,,div-4,,,
laguna:1.3,laguna,1.3,,meo,μεῖον (μῆον),,3,div-7,,,
"barbaro:III",barbaro,"III",,Meu,,,0,,,,
lusitanus:3,lusitanus,3,,De meo,,,7,,,,
monardes:III,monardes,III,,De meon,,,22,,,,
desmoulins:1.3,desmoulins,1.3,,Le meon,,,5,,,,
wellmann:1.4,wellmann,1.4,,κύπερος,,,9,div-21,,,
berendes:1.4,berendes,1.4,,Cyperngras,κύπειρον,,027,div-8,,,
beck:1.4,beck,1.4,,Galingale,κύπερος,,,div-24,,,
gunther:1.4,gunther,1.4,,KUPEIROS,,,,div-5,,,
laguna:1.4,laguna,1.4,,juncia avellanada,κύπερος,,4,div-9,,,
"barbaro:IIII",barbaro,"IIII",,Cyperus,,,0,,,,
lusitanus:4,lusitanus,4,,De cypero,,,9,,,,
monardes:IIII,monardes,IIII,,Du souchet,,,22,,,,
desmoulins:1.4,desmoulins,1.4,,Le Souchet,,,6,,,,
wellmann:1.5,wellmann,1.5,,ἕτερον εἶδος κυπέρου,,,9,div-24,,,
berendes:1.4.5,berendes,1.4.5,,Cyperngras,κύπειρον,,027,div-8,,,
beck:1.5,beck,1.5,,Turmeric,ἕτερον εἶδος κυπέρου,,,div-25,,,
gunther:1.4,gunther,1.4,,KUPEIROS,,,,div-5,,,
laguna:1.4,laguna,1.4,,juncia avellanada,κύπερος,,4,div-9,,,
monardes:IIII,monardes,IIII,,Du souchet,,,22,,,,
desmoulins:1.4,desmoulins,1.4,,Le Souchet,,,6,,,,
wellmann:1.6,wellmann,1.6,,καρδάμωμον,,,,div-25,,,
berendes:1.5,berendes,1.5,,Kardamomon,καρδάμωμον,,027,div-10,,,
beck:1.6,beck,1.6,,Cardamom,καρδάμωμον,,,div-26,,,
