entry_id,entity_id,confidence,notes
berendes:1.1,iris_germanica,certain,Extracted from berendes
berendes:1.1,iris_florentina,certain,Extracted from berendes
gunther:1.1,iris_germanica,certain,Extracted from gunther
gunther:1.1,iris_florentina,certain,Extracted from gunther
laguna:1.1,iris_germanica,certain,Extracted from laguna
laguna:1.1,iris_florentina,certain,Extracted from laguna
berendes:1.2,acorus_calamus,certain,Extracted from berendes
gunther:1.2,iris,certain,Extracted from gunther
gunther:1.2,pseudacorus,certain,Extracted from gunther
laguna:1.2,iris_pseudacorus,certain,Extracted from laguna
berendes:1.3,athamantha_meum,certain,Extracted from berendes
gunther:1.3,athamanticum,certain,Extracted from gunther
gunther:1.3,meum,certain,Extracted from gunther
laguna:1.3,meum_athamanticum,certain,Extracted from laguna
berendes:1.4,cyperus_longus,certain,Extracted from berendes
berendes:1.4,cyperus_rotundus,certain,Extracted from berendes
gunther:1.4,cyperus_rotundus,certain,Extracted from gunther
laguna:1.4,curcuma_longa,certain,Extracted from laguna
laguna:1.4,cyperus_esculentus,certain,Extracted from laguna
berendes:1.4.5,cyperus_longus,certain,Extracted from berendes
berendes:1.4.5,cyperus_rotundus,certain,Extracted from berendes
berendes:1.5,alpinia_cardamomum,certain,Extracted from berendes
berendes:1.5,elettaria_cardamomum,certain,Extracted from berendes
gunther:1.5,elettaria,certain,Extracted from gunther
gunther:1.5,cardamomum,certain,Extracted from gunther
laguna:1.6,elettaria_cardamomum,certain,Extracted from laguna
berendes:1.6,patrinia_jatamansi,certain,Extracted from berendes
berendes:1.6,valeriana_jatamansi,certain,Extracted from berendes
berendes:1.6,patrinia_scabiosaefolia,certain,Extracted from berendes
gunther:1.6,jatamansi,certain,Extracted from gunther
gunther:1.6,nardostachys,certain,Extracted from gunther
laguna:1.7,patrinia_scabiosifolia,certain,Extracted from laguna
berendes:1.7,valeriana_celtica,certain,Extracted from berendes
gunther:1.7,valeriana_celtica,certain,Extracted from gunther
laguna:1.8,valeriana_celtica,certain,Extracted from laguna
berendes:1.8,nardus_tuberosa,certain,Extracted from berendes
gunther:1.8,valeriana_tuberosa,certain,Extracted from gunther
laguna:1.9,valeriana_tuberosa,certain,Extracted from laguna
berendes:1.9,asarum_europaeum,certain,Extracted from berendes
gunther:1.9,asarum_europaeum,certain,Extracted from gunther
laguna:1.10,asarum_europaeum,certain,Extracted from laguna
berendes:1.10,valeriana_officinalis,certain,Extracted from berendes
berendes:1.10,valeriana_dioscorides,certain,Extracted from berendes
gunther:1.10,dioscoridis_not_v,certain,Extracted from gunther
