chapter_key,berendes_teitok_id,berendes_term,dmm_id,source_id,desmoulins_page,desmoulins_chapter,desmoulins_term,laguna_page,laguna_chapter,laguna_title,laguna_scan_id,laguna_book,wechel_page,wechel_chapter,wechel_title,wechel_scan_id,wechel_book,ruel_page_scan,ruel_folio,ruel_chapter,ruel_title_latin,ruel_title_vernacular,ruel_book,lusitanus_page,lusitanus_chapter,lusitanus_title,barbaro_page,barbaro_chapter,barbaro_term,barbaro_book,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin,gunther_chapter,gunther_division,gunther_term,wellmann_id,wellmann_book,wellmann_chapter,wellmann_greek_lemma,beck_greek_lemma,beck_latin_lemma
1.1,e-9,Iris,DMM1001,DMM10011; it1,17,Chap. I,De la flambe.,11,Cap I,De la Iris,23,Libro primero,4,Cap. I,De Iride,38,Liber primus,26,2v,Cap I,De Iri,De iri,Liber primus,3,Enarratio 1,"De Iride (iris, radix consecratrix, lilium coeleste / des flambes, du glaiz)",3,1,Iris illyrica,I,,1.1,Ἴρις,IRIS,1.1,div-2,IRIS,w-1,1,1,ἶρις,ἶρις,Iris
1.2,e-10,Akoron,DMM1002,DMM10021; it2,19,Chap. II,De l'acore.,12,Cap II,Del Acoro,24,Libro primero,6,Cap. II,De Acoro,40,Liber primus,26,2v,Cap II,De Acoro,De acoro,Liber primus,5,Enarratio 2,"De acoro (acorum, acorus, herba venerea, galangua crassa / galanga)",3,1,Acorus,II,,1.2,Ἄκορον,AKORON,1.2,div-3,AKORON,w-2,1,2,ἄκορον,ἄκορον,Yellow flag
1.3,e-11,B?rwurz,DMM1003,DMM10031; it3,22,Chap. III,De meon.,13,Cap III,Del Meu,25,Libro primero,6,Cap. III,De Meo,40,Liber primus,27,3r,Cap III,De Meo,De meo,Liber primus,7,Enarratio 3,"De meo (mean, meu athamanticum, anethum sylvestrae, foeniculus tortuosus)",4,0,Meu,III,,1.3,Μῆον,MEON,1.3,div-4,MEON,w-3,1,3,μῆον,μῆον,Baldmoney
1.4,e-12,Cyperngras,DMM1004,DMM10041; it4,22,Chap. IIII,Du souchet.,14,Cap IIII,Del Cypero,26,Libro primero,6,Cap. IIII,De Cypero,40,Liber primus,27,3r,Cap IIII,De Cypiro,De cypiro,Liber primus,9,Enarratio 4,"De cypero (cyperus, cyperus odoratus, angulosus iuncus, triangularis iuncus, quadratus iuncus / suocheti)",4,0,Cyperus,IIII,,1.4,Κύπερος,CYPERUS,1.4,div-5,KUPEIROS,w-4,1,4,κύπερος,κύπερος,Galingale
1.5,e-13,Kardamomon,DMM1006,DMM10051; it5,23,Chap. V,Du cardamome.,15,Cap V,Del Cardamomo,27,Libro primero,7,Cap. V,De Cardamomo,41,Liber primus,27,3r,Cap V,De Cardamomo,De cardamomo,Liber primus,11; 12,Enarratio 5,"De cardamomo (cardamomum, cardamomum indicum, cardamomum maius; Arabum cardamomum (cardamomum minus, malagueta, maligreta, granum paradisi)",4,0,Cardamomum,V,,1.5,Καρδάμωμον,CARDAMOMUM,1.5,div-6,KARDAMOMON,w-6,1,6,καρδάμωμον,καρδάμωμον,Cardamom
1.6,e-14,Narde,DMM1007,DMM10061; it6,25,Chap. VI,Du nard Indic.,16,Cap VI,Del Nardo,28,Libro primero,8,Cap. VI,De Nardo,42,Liber primus,28,0v,Cap VI,De Nardo,De nardo,Liber primus,15,Enarratio 6,"De spica nardi (nardus indica, spica nardi, indica spica, radix spica)",4,0,Nardi spica,VI,,1.6,Νάρδος,NARDUM,1.6,div-7,NARDOS,w-7,1,7,νάρδος,νάρδος,Spikenard
1.7,e-15,Keltische Narde,DMM1008,DMM10071; it7,27,Chap. VII,Du nard celtic.,17,Cap VII,"Del Nardo Gallico, o Celtico",29,Libro primero,9,Cap. VII,De Nardo Celtica,43,Liber primus,28,0v,Cap VII,De Nardo Celtico,De nardo celtico,Liber primus,17,Enarratio 7,"De nardo gallica (gallica nardus, celtica nardus, celticum nardum, spica romana, spica celtica, spica gallica). Secunda species (saliunca, birculus, spica communis, mascula spica, spica barbitonsorum / aspico). Tertia species (lavandula / lavende)",5,2,Nardum Gallicum,VII,,1.7,Νάρδος Κελτική,NARDUM CELTICUM,1.7,div-8,NARDOS KELTIKE,w-8,1,8,κελτικὴ νάρδος,κελτικὴ νάρδος,Celtic spikenard
1.8,e-16,Bergnarde,DMM1009,DMM10081; it8,29,Chap. VIII,Du nard de Montaigne.,18,Cap VIII,Del Nardo Montano,30,Libro primero,10,Cap. VIII,De Nardo Montana,44,Liber primus,29,4r,Cap VIII,De montano Nardo,De montano nardo,Liber primus,20,Enarratio 8,"De montana nardo (nardus montana, montanus nardum, vulgo montano nardo)",5,2,Nardum montanum,VIII,,1.8,Νάρδος ὀρειτή,NARDUM MONTANUM,1.8,div-9,NARDOS OREINE,w-9,1,9,ὀρεινὴ νάρδος,ὀρεινὴ νάρδος,Mountain spikenard
1.9,e-17,Haselwurz,DMM1010,DMM10091; it9,30,Chap. IX,Du cabaret.,18,Cap IX,Del Afaro,30,Libro primero,10,Cap. IX,De Asaro,44,Liber primus,29,4r,Cap IX,De Afaro,De afaro,Liber primus,20,Enarratio 9,"De assaro (assarum, asarus, rustica nardus, nardus agrestis, vulgago / cabaret)",5,2,Asaron,IX,,1.9,Ἄσαρον,ASARUM,1.9,div-10,ASARON,,,,,ἄσαρον,Hazelwort
1.X,,,DMM1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
