mm_id,chapter_key,berendes_term,beck_greek_lemma,beck_latin_lemma
MMK001,1.1,Iris,ἶρις,Iris
MMK002,1.2,Akoron,ἄκορον,Yellow flag
MMK003,1.3,B?rwurz,μῆον,Baldmoney
MMK004,1.4,Cyperngras,κύπερος,Galingale
MMK005,1.4.5,,,
MMK006,1.5,Kardamomon,καρδάμωμον,Cardamom
MMK007,1.6,Narde,νάρδος,Spikenard
MMK008,1.7,Keltische Narde,κελτικὴ νάρδος,Celtic spikenard
MMK009,1.8,Bergnarde,ὀρεινὴ νάρδος,Mountain spikenard
MMK010,1.9,Haselwurz,ἄσαρον,Hazelwort
MMK011,1.10,Phu,φοῦ,Cretan spikenard
MMK012,1.11,Malabathron,μαλάβαθρον,Malabar
MMK013,1.12,Kassia,κασσία,Cassia
MMK014,1.13,Zimmt,κινάμωμον,Cinnamon
MMK015,1.14,Amomum,ἄμωμον,Nepal cardamom
MMK016,1.15,Kostus,κόστος,Costusroot
MMK017,1.16,Bartgras,σχοῖνος,Camel hay
MMK018,1.17,Kalmus,κάλαμος ἀρωματικός,Sweet flag
MMK019,1.18,Balsam,βάλσαμον,Mecca balsam
MMK020,1.19,Aspalathos,ἀσπάλαθος,Camel’s-thorn
MMK021,1.20,Bryon,βρύον,Tree moss
MMK022,1.21,Agallochon,ἀγάλοχον,Aloewood/Eagle-wood
MMK023,1.22,Naskaphthon,νάσκαφθον,Nascaphthon
MMK024,1.23,Kankamon,κάγκαμον,Bisabol
MMK025,1.24,Kyphi,κῦφι,Cyphi
MMK026,1.25,Safran,κρόκος,Saffron
MMK027,1.26,Krokomagma,κροκόμαγμα,Saffron residuum
MMK028,1.27,Alant,ἑλένιον,Elecampane
MMK029,1.28,Aegyptischer Alant,ἑλένιον ἄλλο,Another elecampane
MMK030,1.29,Oel aus unreifen Oliven,ἔλαιον,Olive oil
MMK031,1.30,Gew?hnliches Oel,,
MMK032,1.31,Oel des wilden Oelbaumes,,
MMK033,1.32,Weisses Oel,,
MMK034,1.33,Sikyonisches Oel,,
MMK035,1.34,Der Schmutz der B?der,,
MMK036,1.35,Der Schmutz aus den Ringpl?tzen,,
MMK037,1.36,Der Schmutz der Turnpl?tze,,
MMK038,1.37,Honig?l,ἐλαιόμελι,Olive tree sweet gum
MMK039,1.38,Ricinus?l,κίκινον ἔλαιον,Castor oil
MMK040,1.39,Mandel?l,ἀμυγδάλινον ἔλαιον,Almond oil
MMK041,1.40,Behen?l,βαλάνινον,Oil from the nut of the ben tree
MMK042,1.41,Sesam- und Wallnuss?l,,
MMK043,1.42,Bilsen?l,ὑοσκυάμινον,Oil of henbane
MMK044,1.43,Knidisches Oel,Κνιδίου κόκκου,Oil from berries of spurge flax
MMK045,1.44,Saflor?l,,
MMK046,1.45,Rettig?l,ῥαφάνινον,Oil of radish
MMK047,1.46,Schwarzk?mmel?l,,
MMK048,1.47,Senf?l,σινάπινον,Mustard oil
MMK049,1.48,Myrten?l,μυρσίνινον,Oil of myrtle
MMK050,1.49,Lorbeer?l,δάφνινον,Oil of sweet bay
