mm_id,chapter_key,berendes_term,beck_greek_lemma,wellmann_greek_lemma,matthiolo_greek,ratio_beck_wellmann,ratio_beck_matthiolo
MMK008,1.7,Keltische Narde,κελτικὴ νάρδος,κελτικὴ νάρδος,Νάρδος Κελτική,1.000,0.500
MMK009,1.8,Bergnarde,ὀρεινὴ νάρδος,ὀρεινὴ νάρδος,Νάρδος ὀρειτή,1.000,0.462
MMK017,1.16,Bartgras,σχοῖνος,σχοῖνος,Σχοῖνος ἀρωματικός,1.000,0.560
MMK029,1.28,Aegyptischer Alant,ἑλένιον ἄλλο,ἑλένιον ἄλλο,ἑλένιον αἰγυπτίον,1.000,0.690
MMK030,1.29,Oel aus unreifen Oliven,ἔλαιον,ἔλαιον,"Ὀμφάκινον, καὶ πᾶν ἔλαιον",1.000,0.387
MMK041,1.40,Behen?l,βαλάνινον,βαλάνινον,Βαλάνινον ἔλαιον,1.000,0.720
MMK043,1.42,Bilsen?l,ὑοσκυάμινον,ὑοσκυάμινον,Ὑοσκυάμινον ἔλαιον,1.000,0.759
MMK044,1.43,Knidisches Oel,Κνιδίου κόκκου,Κνιδίου κόκκου,Κνιδέλαιον,1.000,0.500
MMK049,1.48,Myrten?l,μυρσίνινον,μυρσίνινον,Μυρσίνινον ἔλαιον,1.000,0.741
MMK050,1.49,Lorbeer?l,δάφνινον,δάφνινον,Δάφνινον ἔλαιον,1.000,0.696
MMK051,1.50,Oel des Mastixbaumes,σχίνινον,σχίνινον,Σχίνινον ἔλαιον,1.000,0.696
MMK053,1.52,Die Zusammensetzung der Salb?le,μαστίχινον,μαστίχινον,Μύρων σύνθεσις,1.000,0.250
MMK054,1.53,Die Bereitung des Rosen?ls,ῥοδίνου σκευασία,ῥοδίνου σκευασία,Ῥόδινον,1.000,0.522
MMK055,1.54,Die Bereitung des Elats?ls,ἐλατίνου σκευασία,ἐλατίνου σκευασία,Ἐλάτινον,1.000,0.560
MMK056,1.55,Die Bereitung des Quitten?ls,μελίνου σκευασία,μελίνου σκευασία,Μήλινον,1.000,0.435
MMK057,1.56,Die Bereitung des Weinbl?then?ls,οἰνανθίνου σκευασία,οἰνανθίνου σκευασία,Ὠινάνθινον,1.000,0.552
MMK058,1.57,Die Bereitung des Bockshorn?ls,τελίνου σκευασία,τελίνου σκευασία,Τήλινον,1.000,0.435
MMK059,1.58,Die Bereitung des Majoran?ls,σαμψουχίνου σκευασία,σαμψουχίνου σκευασία,Σαμψύχινον,1.000,0.600
MMK060,1.59,Die Bereitung des Basilicum?ls,ὠκιμίνου σκευασία,ὠκιμίνου σκευασία,Ὠκίμινον,1.000,0.560
MMK061,1.60,Die Bereitung des Beifuss?ls,ἀβροτονίνου σκευασία,ἀβροτονίνου σκευασία,Ἀβροτόνινον,1.000,0.645
MMK062,1.61,Die Bereitung des Dill?ls,ἀνηθίνου σκευασία,ἀνηθίνου σκευασία,Ἀνέθινον,1.000,0.480
MMK063,1.62,Die Bereitung des susischen Salb?ls,σουσίνου σκευασία,σουσίνου σκευασία,Σούσινον,1.000,0.560
MMK066,1.65,Die Verdichtung und Bereitung des (Lawsonien-) Hennasalb?ls,κυπρίνου στύψις καὶ σκευασία,κυπρίνου στύψις καὶ σκευασία,Κύπρινον,1.000,0.389
MMK067,1.66,Die Verdichtung des Schwertlilien?ls,ἰρίνου στύψις,ἰρίνου στύψις,Ἴρινον,1.000,0.526
MMK076,1.75,Nardensalb?l,νάρδινον μύρον,νάρδινον μύρον,Νάρδινον,1.000,0.727
MMK088,1.86,Pinie,πίτυς,πίτυς,Πεύκη καὶ Πίτυς,1.000,0.500
MMK096,1.94,Fl?ssiges Pech,πίσσα,πίσσα,Πίσσα ὑγρά,1.000,0.667
MMK106,1.104,Sadebaum,βράθυ,βράθυ,Βράθυ{ς},1.000,0.769
MMK111,1.109,Weisspappel,λεύκη,λεύκη,Λεύκη καὶ Αἴγειρος,1.000,0.435
MMK112,1.110,Schwarzpappel,αἴγειρος,αἴγειρος,Περὶ Αὶγείον,1.000,0.600
MMK132,1.130,Rosen,ῥόδα,ῥόδα,Ῥόδον,1.000,0.667
MMK135,1.133,Akazie,ἀκακία,ἄσαρον; ἀκακία,Ἀκακία,0.600,1.000
MMK136,1.134,Keuschlammstrauch,ἄγνος ἢ λύγος,ἄγνος ἢ λύγος,Ἄγνος,1.000,0.556
MMK144,1.142,Eiche,δρῦς,δρῦς,"Δρῦς, Βάλανος, Φηγὸς, Πρίνος",1.000,0.250
MMK149,1.147,Gerbersumach,ῥοῦς ὁ ἐπὶ τά ὄψα,ῥοῦς ὁ ἐπὶ τά ὄψα,Ῥοῦς,1.000,0.381
MMK154,1.152,Granatbl?the,βαλαύστιον,βαλαύστιον,Περἰ κυτίνων,1.000,0.364
MMK157,1.155,Myrte,μυρσίνη ἡ ἥμερος,μυρσίνη ἡ ἥμερος,Μυρσίνη,1.000,0.609
MMK169,1.167,Birne,ἄπιος,ἄπιος,Ἄπια,1.000,0.667
MMK173,1.171,Lotos,λωτός,λωτός,Λωτὸς δένδρον,1.000,0.556
MMK182,1.180,Maulbeerbaum,μορέα ἢ συκάμινον,μορέα ἢ συκάμινον,Μορέα,1.000,0.455
MMK184,1.182,Feige auf Kypern,σῦκα,σῦκα,Περἰ σύκον ἐν Κύπρψ,1.000,0.261
MMK189,1.187,Persea,περσαία,περσαία,Περσέα,1.000,0.769
MMK194,2.4,Purpurschnecke,πορφύρα,πορφύρα,"Πορφύρα, Κέρυκες, Κιόνια",1.000,0.452
MMK197,2.7,Miesmuschel,μύακες Ποντικοί,μύακες Ποντικοί,Μύακες,1.000,0.571
MMK199,2.9,Chienmuschel,πορφύρας πώματα,πορφύρας πώματα,Χῆμαί,1.000,0.200
MMK201,2.11,Schnecken,κοχλίας χερσαῖος,κοχλίας χερσαῖος,Κοχλίαι,1.000,0.609
MMK202,2.12,Krebse,καρκίνων ποταμίων καέντων ἡ τέφρα,καρκίνων ποταμίων καέντων ἡ τέφρα,Καρκίνοι,1.000,0.390
MMK204,2.14,Seeskorpion,θαλασσίου σκορπίου,θαλασσίου σκορπίου,Σκορπίος θαλάσσιος,1.000,0.500
MMK206,2.16,Skolopender,σκολοπένδρα θαλασσία,σκολοπένδρα θαλασσία,Σκολόπενδρα,1.000,0.710
MMK207,2.17,Zitterrochen,νάρκη θαλασσία,νάρκη θαλασσία,Νάρκη,1.000,0.526
MMK209,2.19,Schlangenhaut,ὄφις,ὄφις,Γῆρας ὄφεος,1.000,0.400
MMK210,2.20,Meerhase,λαγωὸς θαλάσσιος,λαγωὸς θαλάσσιος,Λαγωός θαλάσσιος καὶ χερσαῖος,1.000,0.711
MMK211,2.21,Landhase,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,Περἰ Λαγώον χερσαίον,1.000,0.333
MMK212,2.22,Stechrochen,τρυγόνος θαλασσίας τὸ κέντρον,τρυγόνος θαλασσίας τὸ κέντρον,Τρυγών θαλάσσιος,1.000,0.622
MMK213,2.23,Tintenfisch,σηπίας τὸ μέλαν,σηπίας τὸ μέλαν,Σηπία,1.000,0.500
MMK215,2.25,Hoden des Flusspferdes,ὄρχις ἱπποποτάμου,ὄρχις ἱπποποτάμου,Ἱπποπόταμος,1.000,0.714
MMK216,2.26,Hoden des Bibers,καὶ ὁ τοῦ κάστορος ὄρχις,καὶ ὁ τοῦ κάστορος ὄρχις,Κάστωρ,1.000,0.333
MMK220,2.30,Brasse,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,Σμαρίδες,1.000,0.333
MMK221,2.31,M?na,καὶ ἡ τῆς μαινίδος κεφαλὴ,καὶ ἡ τῆς μαινίδος κεφαλὴ,Μαινίδες,1.000,0.424
MMK223,2.33,Rohe P?kelung,ὠμοτάριχος,ὠμοτάριχος,Θύννος,1.000,0.250
MMK224,2.34,Garum,γάρος,γάρος,Γάῤῥον,1.000,0.727
MMK226,2.36,Wanzen,κόρεις οἱ ἀπὸ κλίνης,κόρεις οἱ ἀπὸ κλίνης,Κόρεις κλινικοί,1.000,0.629
MMK227,2.37,Kubariden,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,Ὄνοι,1.000,0.308
MMK230,2.40,Schweinelunge,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,Πνεύμονες,1.000,0.214
MMK231,2.41,Fuchslunge,ἀλώπεκος πνεύμων,ἀλώπεκος πνεύμων,Περἰ Πνεύμονος ἀλώπεκος,1.000,0.410
MMK232,2.42,Eselleber,ἧπαρ ὄνειον,ἧπαρ ὄνειον,Ἥπατα,1.000,0.375
MMK233,2.43,Kurzwildpret des Edelhirsches,αἰδοῖον ἄρρενος ἐλάφου,αἰδοῖον ἄρρενος ἐλάφου,Αἰδοῖον ἐλάφου,1.000,0.778
MMK234,2.44,Eselshufe,ὄνυχες ὄνων,ὄνυχες ὄνων,Ὀνυχες ὄνου καὶ αἰγός,1.000,0.562
