barbaro_iiif	barbaro_page	barbaro_term	barbaro_chapter
3	1r	Iris illyrica	I
3	1r	Acorus 	II
4	1v	Meu	III
4	1v	Cyperus	IIII
4	1v	Cardamomum	V
4	1v	Nardi spica	VI
5	2r	Nardum Gallicum	VII
5	2r	Nardum montanum	VIII
5	2r	Asaron	IX
5	2r	Phu	X
5	2r	Malabathrum	XI
6	2v	Cassia	XII
6	2v	Cinnamomum	XIII
7	3r	Amomum	XIIII
7	3r	Costum	XV
7	3r	Iuncus odoratus	XVI
7	3r	Calamus odoratus	XVII
7	3r	Balsamus	XVIII
8	3v	Aspalathus	XVIIII
8	3v	Bryon	XX
8	3v	Agallochum	XXI
9	4r	Nascaphthum	XXII
9	4r	Cancamum	XXIII
9	4r	Cyphi	XXIIII
9	4r	Crocum	XXV
9	4r	Crocomagma	XXVI
9	4r	Helenium	XXVII
9	4r	Helenium Aegyptium	XXVIII
10	4v	Omphacinum	XXIX
10	4v	Oleum ex Drupa	XXX
10	4v	Oleum ex oleastro	XXXI
10	4v	Oleum candidum	XXXII
10	4v	Oleum Sicyonium	XXXIII
10	4v	Strigmenta à balneis	XXXIIII
10	4v	Strigmenta palaestritarum	XXXV
10	4v	Strigmenta à partibus gymnasiorum	XXXVI
10	4v	Elaeomeli	XXXVII
11	5r	Oleum cicinum	XXXVIII
11	5r	Oleum amygdalinum	XXXIX
11	5r	Oleum balaninum	XL
11	5r	Olleum sesaminum	XLI
11	5r	Oleum caryinum	XLII
11	5r	Oleum hyoscyaminum	XLIII
11	5r	Oleum gnidium	XLIIII
11	5r	Oleum cnicium	XLV
11	5r	Oleum raphaninum	XLVI
11	5r	Oleum melanthinum	XLVII
11	5r	Oleum sinapinum	XLVIII
11	5r	Oleum myrteum	XLIX
11	5r	Oleum laurinum	L
11	5r	Oleum lentiscinum	LI
11	5r	Oleum terebinthinum	LII
11	5r	Oleum mastichinum	LIII
11	5r	Unguenta in commune	LIIII
12	5v	Unguentum rosaceum	LV
12	5v	Unguentum elatinum	LVI
12	5v	Unguentum Melinum	LVII
12	5v	Unguentum oenanthinum	LVIII
13	6r	Unguentum Telinum	LIX
13	6r	Unguentum sampsychinum	LX
13	6r	Unguentum ociminum	LXI
13	6r	Unguentum abrotoninum	LXII
13	6r	Unguentum anethinum	LXIII
13	6r	Unguentum Susinum	LXIIII
13	6r	Unguentum narcissinum	LXV
13	6r	Unguentum crocinum	LXVI
13	6r	Unguentum ciprinum	LXVII
13	6r	Unguentum irium	LXVIII
13	6r	Unguentum gleucinum	LIX
13	6r	Unguentum Amaracinum	LXX
13	6r	Unguentum Megalium	LXXI
14	6v	Unguentum sive masma hedychrum	LXXII
14	6v	Unguentum Metopium	LXXIII
14	6v	Unguentum Mendesium	LXXIIII
14	6v	Stacte unguentum	LXXV
14	6v	Cinnamominum ung	LXXVI
14	6v	Unguentum nardinum	LXXVII
14	6v	Unguentum malabathrinum	LXXVIII
14	6v	Unguentum iasme	LXXIX
14	6v	Myrrha	LXXX
15	6v	Myrrha Boetica	LXXXI
15	6v	Styrax	LXXXII
15	6v	Bdellium	LXXXIII
15	6v	Thus	LXXXIIII
16	6v	Cortex thuris	LXXXV
16	6v	Manna thuris	LXXXVI
16	6v	Fuligo thuris	LXXXVII
16	6v	Fuligo myrrhae et aliorum	LXXXVIII
16	6v	Picea	LXXXIX
18	6v	Pityides	XC
18	6v	Nuclei pinei	XCI
18	6v	Lentiscus	XCII
18	6v	Resina lentiscina	XCIII
18	6v	Terebinthus	XCIIII
19	8r	Resinae	XCV
19	8r	Resinae aliae	XCVI
19	8r	Fuligo resinae	XCVII
19	8r	Pix	XCVIII
20	8v	Oleum picinum	XCIX
20	8v	Fuligo picis	C
20	8v	Palimpissa	CI
20	8v	Zopissa	CII
20	8v	Bitumen	CIII
20	8v	Pissasphalton	CIIII
20	8v	Naphthe	CV
21	9r	Cupressus	CVI
21	9r	Iuniperus	CVII
21	9r	Iuniperus maiuscula	CVIII
21	9r	Sabina	CIX
21	9r	Cedrus	CX
21	9r	Cedria	CXI
22	9v	Cedrides	CXII
22	9v	Laurus	CXIII
22	9v	Daphnides	CXIIII
23	10r	Platanus	CXV
23	10r	Fraxinus	CXVI
23	10r	Populus	CXVII
24	10v	Populus nigra	CXIX
24	10v	Macir	CXVIII
24	10v	Ulmus	CXX
24	10v	Caries lignorum	CXXI
24	10v	Harundo	CXXII
26	10v	Papyrus	CXXIII
26	10v	Myrice	CXXIIII
26	10v	Erice	CXXV
26	10v	Acacalis	CXXVI
27	14r	Rhamnus	CXXVII
27	14r	Halimon	CXXVIII
27	14r	Paliurus	CXXIX
27	14r	Oxyacanthos	CXXX
27	14r	Cynosbatos	CXXXI
27	14r	Cyprus	CXXXII
28	14v	Tilia	CXXXIII
28	14v	Cistus	CXXXIIII
28	14v	Hypocistis	CXXXV
28	14v	Cistos alia	CXXXVI
28	14v	Ebenus	CXXXVII
28	14v	Rosa	CXXXVIII
29	13r	Rhodides	CXXXIX
29	13r	Lycium	CXL
29	13r	Acacia	CXLI
30	13v	Acacia alia	CXLII
30	13v	Amurca	CXLIII
30	13v	Vitex	CXLIIII
30	13v	Salix	CXLV
30	13v	Olea sylvestris	CXLVI
31	14r	Olea	CXLVII
31	14r	Olivae Colymbades	CXLVIII
32	14v	Oleum sylvestris oleae	CXLIX
32	14v	Oleum sylvestris oleae	CXLIX
32	14v	Oleae Aethiopicae lachryma	CL
32	14v	Quercus	CLI
32	14v	Glans	CLII
33	15r	Fagus et ilex	CLIII
33	15r	Castanea	CLIIII
34	15v	Gallae	CLV
34	15v	Rhus	CLVI
34	15v	Palma	CLVII
35	16r	Caryotae	CLVIII
35	16r	Thebaides	CLIX
35	16r	Palma elate	CLX
35	16r	Malum granatum	CLXI
36	16v	Cytinus	CLXIII
36	16v	Malicorium	CLXIII
36	16v	Balaustium	CLXIIII
36	16v	Myrtus	CLXV
37	17r	Myrtidanum	CLXVI
37	17r	Cerasus	CLXVII
38	17v	Siliqua	CLXVIII
38	17v	Malus	CLXIX
39	18r	Cotonea	CLXX
39	18r	Melimela	CLXXI
39	18r	Epirotica	CLXXII
39	18r	Sylvestria mala	CLXXIII
39	18r	Persicus	CLXXIIII
39	18r	Armeniaca	CLXXV
39	18r	Citrea	CLXXVI
40	18v	Pirus	CLXXVII
41	19r	Pirus sylvestris	CLXXVIII
41	19r	Mespilus	CLXXIX
41	19r	Epimelis	CLXXX
41	19r	Lotus arbor	CLXXXI
42	19v	Cornus	CLXXXII
42	19v	Sorbus	CLXXXIII
43	20r	Arbutus	CLXXXV
43	20r	Amygdalus	CLXXXVI
43	20r	Amygdalus dulcis	CLXXXVII
43	20r	Pistacea	CLXXXVIII
44	20v	Nux iuglans	CLXXXIX
44	20v	Avellana	CXC
44	20v	Morus	CXCI
45	21r	Ficus Aegyptia	CXCII
45	21r	Ficus Cypria	CXCIII
45	21r	Ficus	CXCIIII
46	21v	Caprificus	CXCV
47	22r	Grossi	CXCVI
47	22r	Lixivia è ficu	CXCVII
47	22r	Persea	CXCVIII
47	22r	Hiberis	CXCIX
47	22r	Halicacabus	CC
48	22v	Erinaceus marinus	CCI
48	22v	Erinaceus terrestris	CCII
48	22v	Hippocampus	CCIII
48	22v	Purpurae	CCIIII
49	23r	Buccina	CCV
49	23r	Ionia	CCVI
49	23r	Mituli	CCVII
49	23r	Tellinae	CCVIII
50	23v	Chamae	CCIX
50	23v	Unguis odoratus	CCX
50	23v	Cochleae terrestres	CCXI
50	23v	Cancri	CCXII
50	23v	Scorpius terrestris	CCXIII
50	23v	Scorpius marinus	CCXIIII
50	23v	Draco marinus	CCXXV
50	23v	Scolopendra marina	CCXVI
50	23v	Torpedo	CCXVII
50	23v	Vipera	CCXVIII
51	24r	Senecta serpentis	CCXIX
52	24v	Lepus marinus	CCXX
52	24v	Lepus terrestris	CCXXI
52	24v	Pastinaca piscis	CCXXII
52	24v	Sepiae	CCXXIII
52	24v	Mulus piscis	CCXXIIII
52	24v	Hippopotamus	CCXXV
52	24v	Fiber	CCXXVI
53	25r	Mustella	CCXXVII
53	25r	Rana	CCXXVIII
53	25r	Silurus	CCXXIX
53	25r	Smarides	CCXXX
53	25r	Maenae	CCXXXI
54	25v	Gobius	CCXXXII
54	25v	Omotarichos	CCXXXIII
54	25v	Garum	CCXXXIIII
55	26r	Pisces saxatiles	CCXXXV
55	26r	Cimices lecti	CCXXXVI
55	26r	Onos	CCXXXVII
55	26r	Blattae	CCXXXVIII
55	26r	Marinus pulmo	CCXXXIX
55	26r	Pulmones animalium	CCXL
56	26v	Vulpinus pulmo	CCXLI
56	26v	Iecor	CCXLII
56	26v	Genitale cervi	CCXLIII
56	26v	Ungues asini	CCXLIIII
56	26v	Lichnen equi	CCXLV
56	26v	Ungulae caprarum	CCXLVI
56	26v	Iecur caprinum	CCXLVII
56	26v	Iecur hircinum	CCXLVIII
56	26v	Iecur apprinum	CCXLIX
56	26v	Iecur et dens canis	CCL
56	26v	Corium	CCLI
56	26v	Iecur mergi	CCLII
56	26v	Gallinaceus	CCLIII
57	27r	Ovum	CCLIIII
57	27r	Ovum	CCLIIII
57	27r	Cicadae	CCLV
58	27v	Locustae	CCLVI
58	27v	Ossifragus sive phinis	CCLVII
58	27v	Galerita	CCLVIII
58	27v	Hirundines	CCLIX
58	27v	Ebur	CCLX
58	27v	Talus suis	CCLXI
58	27v	Cervinum cornu	CCLXII
59	28r	Erucae olerum	CCLXIII
59	28r	Cantharides	CCLXIIII
59	28r	Buprestis et pityocampe	CCLXV
59	28r	Salamandra	CCLXVI
59	28r	Araneus	CCLXVII
60	28v	Lacerta	CLXVIII
60	28v	Seps	CCLXIX
61	29r	Scinus	CCLXX
61	29r	Vermes terreni	CCLXXI
61	29r	Musaraneus	CCLXXII
61	29r	Mures	CCLXXIII
61	29r	Lac	CCLXXIIII
62	29v	Serum	CCLXXV
62	29v	Lac schiston	CCLXXVI
62	29v	Lac humanum	CCLXXVII
62	29v	Caseus	CCLXXVIII
62	29v	Hippace	CCLXXIX
62	29v	Butyrum	CCLXXX
62	29v	Fuligo butyri	CCLXXXI
62	29v	Lana succida	CCLXXXII
63	30r	Lana usta	CCLXXXIII
63	30r	Oesypum	CCLXXXIIII
63	30r	Coagulum	CCLXXXV
63	30r	Adeps	CCLXXXVI
63	30r	Adeps suillus, &amp; angninus	CCLXXXVII
63	30r	Adeps cervinus, ovillus, hircinus	CCLXXXVIII
63	30r	Adeps bubulus	CCLXXXIX
63	30r	Adeps taurinus, pantherinus, leoninus	CCXC
64	30v	Adipes odorati è vitulo, tauro, cervo: item medulla cervi	CCXCI
64	30v	Adipes gallinaceorum &amp; anserum	CCXCII
64	30v	Adipes sampsuchini	CCXCIII
64	30v	Adipes anserini, gallinacei, vitulini	CCXCIIII
64	30v	Adipum medicinae	CCXCV
64	30v	Medullae animalium	CCXCVI
64	30v	Fel animalium	CCXCVII
64	30v	Sanguis	CCXCVIII
65	31r	Fimum	CCXCIX
65	31r	Crocodilea	CCC
65	31r	Urina	CCCI
65	31r	Lyncurium	CCCII
65	31r	Mel	CCCIII
65	31r	Mel Sardoum	CCCIIII
65	31r	Mel Ponticum	CCCV
66	31v	Saccharum	CCCVI
66	31v	Cera	CCCVII
66	31v	Propolis	CCCVIII
66	31v	Triticum	CCCIX
69	33r	Hordeum	CCCX
69	33r	Zythos	CCCXI
69	33r	Curmi	CCCXI
70	33v	Zea	CCCXII
70	33v	Crimnon	CCCXIII
70	33v	Olyra	CCCXIIII
70	33v	Athera	CCCXV
