beck_id beck_greek_name beck_english_name
DMM1001	ἶρις	Iris
DMM1002	ἄκορον	Yellow flag
DMM1003	μῆον	Baldmoney
DMM1004	κύπερος	Galingale
DMM1005	ἕτερον εἶδος κυπέρου	Turmeric
DMM1006	καρδάμωμον	Cardamom
DMM1007	νάρδος	Spikenard
DMM1008	κελτικὴ νάρδος	Celtic spikenard
DMM1009	ὀρεινὴ νάρδος	Mountain spikenard
DMM1010	ἄσαρον	Hazelwort
DMM1011	φοῦ	Cretan spikenard
DMM1012	μαλάβαθρον	Malabar
DMM1013	κασσία	Cassia
DMM1014	κινάμωμον	Cinnamon
DMM1015	ἄμωμον	Nepal cardamom
DMM1016	κόστος	Costusroot
DMM1017	σχοῖνος	Camel hay
DMM1018	κάλαμος ἀρωματικός	Sweet flag
DMM1019	βάλσαμον	Mecca balsam
DMM1020	ἀσπάλαθος	Camel’s-thorn
DMM1021	βρύον	Tree moss
DMM1022	ἀγάλοχον	Aloewood/Eagle-wood
DMM1023	νάσκαφθον	Nascaphthon
DMM1024	κάγκαμον	Bisabol
DMM1025	κῦφι	Cyphi
DMM1026	κρόκος	Saffron
DMM1027	κροκόμαγμα	Saffron residuum
DMM1028	ἑλένιον	Elecampane
DMM1029	ἑλένιον ἄλλο	Another elecampane
DMM1030	ἔλαιον	Olive oil
DMM1031	ἐλαιόμελι	Olive tree sweet gum
DMM1032	κίκινον ἔλαιον	Castor oil
DMM1033	ἀμυγδάλινον ἔλαιον	Almond oil
DMM1034	βαλάνινον	Oil from the nut of the ben tree
DMM1035	ὑοσκυάμινον	Oil of henbane
DMM1036	Κνιδίου κόκκου	Oil from berries of spurge flax
DMM1037	ῥαφάνινον	Oil of radish
DMM1038	σινάπινον	Mustard oil
DMM1039	μυρσίνινον	Oil of myrtle
DMM1040	δάφνινον	Oil of sweet bay
DMM1041	σχίνινον	Oil of mastic
DMM1042	μαστίχινον	Mastic oil
DMM1043	ῥοδίνου σκευασία	Preparation of unguent of roses
DMM1044	ἐλατίνου σκευασία	Preparation of unguent of date palm
DMM1045	μελίνου σκευασία	Preparation of unguent of quince
DMM1046	οἰνανθίνου σκευασία	Preparation of unguent of wild vine inflorescence
DMM1047	τελίνου σκευασία	Preparation of unguent of fenugreek
DMM1048	σαμψουχίνου σκευασία	Preparation of unguent of marjoram
DMM1049	ὠκιμίνου σκευασία	Preparation of unguent of basil
DMM1050	ἀβροτονίνου σκευασία	Preparation of unguent of wormwood
DMM1051	ἀνηθίνου σκευασία	Preparation of unguent of dill
DMM1052	σουσίνου σκευασία	Preparation of unguent of lily
DMM1053	ναρκίσσινον	Preparation of unguent of narcissus
DMM1054	κρόκινον	Preparation of unguent of saffron
DMM1055	κυπρίνου στύψις καὶ σκευασία	Thickening and preparation of unguent of henna
DMM1056	ἰρίνου στύψις	Thickening of unguent of iris
DMM1057	γλεύκινον	Unguent of new sweet wine
DMM1058	ἀμαράκινον	Unguent of marjoram
DMM1059	μετώπιον	Metopion
DMM1060	στακτή	Stacte
DMM1061	κιναμώμινον	Unguent of cinnamon
DMM1062	νάρδινον μύρον	Unguent of spikenard
DMM1063	μαλαβάθρινον	Unguent of the leaf of malabar
DMM1064	σμύρνα	Myrrh
DMM1065	Βοιωτικὴ σμύρνα	Boiotian myrrh
DMM1066	στύραξ	Storax
DMM1067	βδέλλιον	Bdellium
DMM1068	λίβανος	Frankincense
DMM1069	πίτυς	Pitys pine
DMM1070	σχῖνος	Mastic
DMM1071	τέρμινθος	Terebinth
DMM1072	πίσσα	Pitch
DMM1073	ἀσφαλτος	Asphalt
DMM1074	κυπάρισσος	Cypress
DMM1075	ἄρκευθος	Juniper
DMM1076	βράθυ	Savin
DMM1077	κέδρος	Cedar
DMM1078	δάφνη	Sweet bay
DMM1079	πλάτανος	Plane
DMM1080	μελία	Manna ash
DMM1081	λεύκη	White poplar
DMM1082	μάκιρ	Mace
DMM1083	αἴγειρος	Black poplar
DMM1084	πτελέα	Elm
DMM1085	κάλαμος	Reed
DMM1086	πάπυρος	Papyrus
DMM1087	μυρίκη	Tamarisk
DMM1088	ἐρείκη	Tree heath
DMM1089	ἀκακαλλίς	Acacallis
DMM1090	ῥάμνος	Boxthorn
DMM1091	ἅλιμον	Tree purslane
DMM1092	παλίουρος	Christ’s-thorn
DMM1093	ὀξυάκανθα	Fiery thorn
DMM1094	κυνόσβατος	White rose
DMM1095	κύπρος	Henna
DMM1096	φιλύρα	Lime tree
DMM1097	κισθός	Rock rose
DMM1098	ἔβενος	Ebony
DMM1099	ῥόδα	Roses
DMM1100	λύκιον	Dyer’s buckthorn
DMM1010	ἀκακία	Shittah tree
DMM1102	ἀμόργη	Amorge
DMM1103	ἄγνος ἢ λύγος	Chaste tree
DMM1104	ἰτέα	Willow
DMM1105	ἀγριελαία	Wild olive tree
DMM1106	δρῦς	Oak
DMM1107	κηκίς	Cecis
DMM1108	ῥοῦς ὁ ἐπὶ τά ὄψα	Sumac
DMM1109	φοῖνιξ	Date palm
DMM1110	ῥόα	Pomegranate
DMM1111	βαλαύστιον	Flower of the wild pomegranate
DMM1112	μυρσίνη ἡ ἥμερος	Cultivated myrtle
DMM1113	κεράσια	Fruit of the cherry tree
DMM1114	κεράτια	Fruit of the carob tree
DMM1115	μηλέα	Apple tree
DMM1116	ἄπιος	Pear
DMM1117	λωτός	Nettle tree
DMM1118	μέσπιλον	Medlar tree
DMM1119	κρανία	Cornelian cherry tree
DMM1120	οὖα	Sorb apples
DMM1121	κοκκυμηλέα	Plum tree
DMM1122	κόμαρος	Strawberry tree
DMM1123	ἀμυγδάλη	Almond
DMM1124	πιστάκια	Pistachio nuts
DMM1125	κάρυα βασιλικά	Walnuts
DMM1126	μορέα ἢ συκάμινον	Mulberry tree
DMM1127	συκόμορον	Sycamore fig
DMM1128	σῦκα	Figs
DMM1129	περσαία	Persea
DMM2001	ἐχῖνος θαλάσσιος	Sea urchin
DMM2002	ἐχῖνος χερσαῖος	Hedgehog
DMM2003	ἱππόκαμπος	Sea horse
DMM2004	πορφύρα	Murex
DMM2005	μύακες Ποντικοί	Pontic sea mussels
DMM2006	τελλῖναι	Tellina
DMM2007	πορφύρας πώματα	Opereula of murex
DMM2008	ὄνυξ	Onyx
DMM2009	κοχλίας χερσαῖος	Land snail
DMM2010	καρκίνων ποταμίων καέντων ἡ τέφρα	Ash of calcined riverine crabs.
DMM2011	σκόρπιος χερσαῖος	Land scorpion
DMM2012	θαλασσίου σκορπίου	Bile of sea scorpion
DMM2013	δράκων θαλάσσιος	Greater weever
DMM2014	σκολοπένδρα θαλασσία	Sea scolopendra
DMM2015	νάρκη θαλασσία	Electric ray
DMM2016	ἐχίδνη	Viper
DMM2017	ὄφις	Serpent
