	ID	Year	Place	Publisher	Edition	ISO 639-3	Translator	Translator 2	Link	Alternate	CC-BY	URN	Worldcat	Note
	950	Southern Italy	n/a		lat	n/a		https://www.digitale-sammlungen.de/en/view/bsb00147803?page=4,5	https://www.biodiversitylibrary.org/item/208369#page/5/mode/1up		https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00147803-1		Alternate contains transcribed text
	1516	Paris	Henri Estienne		lat	Ruellius		https://archive.org/details/BIUSante_00815					
	1544	Venice	per de Bascarini		lat	Mattioli		https://gallica.bnf.fr/ark:/12148/bpt6k1501630w					
	1549	Paris	Apud Petrum Haultinum		lat	Goupyl		https://archive.org/details/dioscoridislibr00ruelgoog/mode/2up					
	1554	Venice	apud vincentium valgrisium		lat	Mattioli			https://www.summagallicana.it/Dioscoride%20Mattioli/index%20di%20Dioscoride%20Mattioli.htm				
	1555	Antwerp	Jean Laet		spa	Laguna		https://www.loc.gov/item/2021666851					
	1559	Lyon	Chez Thibault Payan		fra	Mathee	Mattioli	https://gallica.bnf.fr/ark:/12148/bpt6k96067706/f26.item					
	1559	Venice	In Officina Valgrisiana		lat	Mattioli		https://bibdigital.rjb.csic.es/records/item/13527-redirection					
	1562	Lyon	Apud Gabrielem Coterium		lat	Mattioli		https://bibdigital.rjb.csic.es/records/item/13528-redirection					
	1563	Prague	Durch Georgen Melantrich von Auentin, auff sein und Vincenti Valgriss Buchdruckers zu Venedig uncosten		deu	Handsch		https://www.biodiversitylibrary.org/item/37059#page/26/mode/1up	https://www.digitale-sammlungen.de/de/view/bsb10149845?page=98		https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10149845-6		
	1568	Venice	Appresso Vincenzo Valgrisi		ita	Mattioli		https://archive.org/details/gri_33125014246561/page/n3/mode/2up	https://www.biodiversitylibrary.org/item/211436#page/5/mode/1up				
	1572	Lyon	par Guillaume Roville		fra	Desmoulins	Mattioli	https://www.digitale-sammlungen.de/en/view/bsb10139454		yes	https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10139454-0		
	1573	Venice	Valgrisi		ita	Mattioli		https://www.digitale-sammlungen.de/de/view/bsb10139451?page=5					
	1579	Lyon	par Guillaume Roville		fra	Desmoulins	Mattioli	https://archive.org/details/BIUSante_00824A/mode/2up		yes			
	1596	Prague	M. Danyele Adama z Weleslawjna nákladem geho a Wáclawa Trewtlara z Krosswic	2	ces	Huber z Rizenpachu	Mattioli	https://archive.org/details/herbanebbylinwys00matt/					
	1898	Edinburg	Livingstone		eng	Whitla		https://archive.org/details/materiamedicacom00whituoft/page/n1/mode/2up					
	1902	Stuttgart	Verlag von Ferdinand Enke		deu	Berendes		https://digi.ub.uni-heidelberg.de/diglit/berendes1902					
	1934	Oxford	Oxford University Press		eng	Gunther	Goodyer					https://search.worldcat.org/de/title/182639913	
	1998	Madrid	Editorial Gredos		spa	Valdés		https://archive.org/details/dioscorides.-plantas-y-remedios-medicinales.-libros-i-iii-ocr-g-1998/page/n1/mode/2up		yes			I-III
	1998	Madrid	Editorial Gredos		spa	Valdés		https://archive.org/details/dioscorides.-plantas-y-remedios-medicinales.-libros-iv-v-ocr-g-1998/page/n5/mode/2up		yes			IV-V
	2006	Salamanca	Universidad de Salamanca		spa	López Eire et al.		https://dioscorides.usal.es/index.php					
	2020	Hildesheim	Georg Olms Verlag	4	eng	Beck						https://search.worldcat.org/de/title/1414725337	
	1557	Venice	Ex officina Iordani Zilleti	2	lat	Lusitanus	Ruellius	https://archive.org/details/amatilusitanimed00amat/page/n11/mode/2up	https://www.biodiversitylibrary.org/bibliography/210386				Ruellius' translation, Lusitanus commentary
