book	chapter	chapter_title	chapter_description
1	1	IRIS	Iris Germanica or I. florentina
1	2	AKORON	Iris Pseudacorus
1	3	MEON	Meum Athamanticum
1	4	KUPEIROS	Cyperus rotundus
1	5	KARDAMOMON	Elettaria Cardamomum
1	6	NARDOS	(I) Nardostachys Jatamansi (‘Indian’)
1	7	NARDOS KELTIKE	Valeriana celtica
1	8	NARDOS OREINE	Valeriana tuberosa
1	9	ASARON	Asarum europaeum
1	10	PHOU	Valeriana Dioscoridis not V. officinalis
1	11	MALABATHRON	Malabathrum
1	12	KASSIA	Cinnamomum iners
1	13	KINAMOMON	Cinnamomum Cassia
1	14	AMOMON	Amomum subulatum or Cissus vitiginea
1	15	KOSTOS	Saussurea Lappa
1	16	SCHOINOS	Cymbopogon Schoenanthus
1	17	KALAMOS EUODES	Acorus Calamus
1	18	BALSAMON	Balsamodendron Opobalsamum
1	19	ASPALATHOS	Cytisus lanigerus or Genista acanthoclada
1	20	BRUON	Usnea sp.
1	21	AGALLOCHON	Aloexylon Agallochon
1	22	NASKAPHTHON	Nascaphthum
1	23	KANKAMON	Amyris sp.
1	24	KUPHI	Cyphi
1	25	KROKOS	Crocus sativus
1	26	KROKOMAGMA	Crocomagma
1	27	ELENION	Inula Helenium. Elecampane
1	28	ELENION AIGUPTION	Calamintha incana Calamint
1	29	ELAION OMOTRIBES	Oil of Unripe Olives
1	30	ELAION KOINON	Olive Oil
1	31	ELAION AGRIAS ELAIAS	Wild Olive Oil
1	32	ELAION LEUKON	To whiten Oil
1	33	ELAION SIKUONION	Sicyonian Oil
1	34	RUPOS	Grime from Baths
1	35	RUPOS PALAISTRA	Grime from the Wrestling School
1	36	RUPOS GYMNASION	Grime from the Gymnasium Walls
1	37	ELAIOMELI	Elaeomeli
1	38	KIKINON ELAION	Castor Oil or Croton Oil
1	39	ELAION AMYGDALINON	Almond Oil
1	40	BALANINON ELAION	Oil of Balanites aegyptiaca
1	41	ELAION SESAMINON KAI KARUINON	Oil of Sesame and Walnut Oil
1	42	YOSKUAMINON ELAION	Oil of Henbane
1	43	KNIDELAION	Oil of Daphne
1	44	KNIKELAION	Oil of Bastard Saffron (Carthamus tinctorius)
1	45	RAPHANELAION	Oil of Radish Seed
1	46	MELANTHELAION	Oil of Chamomile
1	47	SINAPELAION	Oil of Mustard
1	48	MURSINELAION	Oil of Myrtle
1	49	DAPHNELAION	Oil of Laurel
1	50	SCHINELAION	Lentiscinum and Terebinthinum
1	51	MASTICHELAION	Mastich
1	52	MURON SUNTHESIS	Medicinal Ointments
1	53	RHODINON	Preparation of Rosaceum
1	54	ELATINON	Preparation of Elatine
1	55	MELINON	Preparation of Oil of Quince
1	56	OINANTHINON	Preparation of Oil of Wild Grapes
1	57	TELINON	Oil of Fenugreek
1	58	SAMPSUCHINON	Oil of Marjoram
1	59	OKIMINON	Oil of Basil
1	60	ABROTONINON	Oil of Southernwood
1	61	ANETHINON	Oil of Dill
1	62	SUSINON	Oil of Lilies
1	63	NARCISSINON	Oil of Narcissus
1	65	KUPRINON	Oil of Cuperos
1	66	IRINON	Iris Oil
1	67	GLEUCINON	Oil of Must
1	68	AMARAKINON	Oil of Sweet Marjoram
1	69	MEGALEION	Megalium
1	70	HEDYCHROON	Hedychroon
1	71	METOPION	Metopium
1	72	MENDESION	Mendesium
1	73	STACTE	Stacte
1	74	KINNAMOMINON	Cinnamominum
1	75	NARDINON MURON	Nard Ointment
1	76	MALABATHRINON	Malabathrinum
1	77	SMURNA	Amyris Hafal. Myrrh
1	78	BOIOTIKE SMURNA	Boeotian Myrrh
1	79	STURAX	Styrax officinalis
1	80	BDELLION	Gum of Doum Palm, Hyphaene thebaica
1	81	LIBANON THUS	Frankincense. Gum of Boswellia Carteri
1	82	PHILOIOS LIBANOU	Bark of Frankincense tree
1	83	LIBANOU MANNA	Manna of Frankincense
1	84	LIBANOU AITHALIE	Fuligo of Frankincense
1	85	LIGNUOS SKEUASIA	
1	86	PITUS	Pinus halepensis
1	87	PITUIDES	Pine-seeds
1	88	STOBILOI	Pine-cones
1	89	SCHINOS	Pistacia Lentiscus
1	90	SCHININE RETINE	Mastick
1	91	TERMINTHOS	Pistacia Terebinthus
1	92	RETINA ALLAS	Resins of various Conifers
1	93	LIGNUOS RETINES	Soot from Resin
1	94	PISSA UGRA	Liquid Pitch or Stockholm Tar
1	95	PISSELAION	Pitch Oil
1	96	LINGUOS UGRAS PISSES	Soot from burning Pitch
1	97	PISSA XERA	Dry Pitch
1	98	ZOPISSA	Rosin
1	99	ASPHALTOS	Judaicum Bitumen
1	100	PISSASPHALTOS	Pissasphaltos
1	101	NAPHTHA	Naptha
1	102	KUPARISSOS	Cupressus sumpervirens
1	103	ARKEOTHOS MEGALE	Juniperus phoenicea?
1	104	BRATHUS	Juniperus sabina
1	105	KEDROS	Juniperus phoenicea
1	106	DAPHNE	Laurus nobilis
1	107	PLATANOS	Platanus orientalis
1	108	MELIA	Fraxinus Ornus
1	109	LEUKE	Populus alba
1	110	MAKER	Mace
1	111	PTELEA	Ulmus campestris
1	112	SAPROTES XYLON	Dry rot
1	113	AIGEIROS	Populus nigra. Black Poplar
1	114	KALAMOS NASTOS	Cenchrus frutescens
1	115	PAPUROS	Papyrus antiquorum. Papyrus
