laguna_scan_id	laguna_book	laguna_page	laguna_chapter	laguna_title	laguna_iiif
23	Libro primero	11	Cap I	De la Iris	26
24	Libro primero	12	Cap II	Del Acoro	
25	Libro primero	13	Cap III	Del Meu	
26	Libro primero	14	Cap IIII	Del Cypero	
27	Libro primero	15	Cap V	Del Cardamomo	
28	Libro primero	16	Cap VI	Del Nardo	
29	Libro primero	17	Cap VII	Del Nardo Gallico, o Celtico	
30	Libro primero	18	Cap VIII	Del Nardo Montano	
30	Libro primero	18	Cap IX	Del Afaro	
31	Libro primero	19	Cap X	Del Phu	
32	Libro primero	20	Cap XI	Del Malabathro	
33	Libro primero	21	Cap XII	De la Cassia	
34	Libro primero	22	Cap XIII	Del Cinnamomo	
35	Libro primero	23	Cap XIIII	Del Amomo	
36	Libro primero	24	Cap XV	Del Costo	
36	Libro primero	24	Cap XVI	Del Junco Oloroso	
37	Libro primero	25	Cap XVII	Del Calamo Aromatico	
38	Libro primero	26	Cap XVIII	Del Balsamo	
40	Libro primero	28	Cap XIX	Del Aspalato	
40	Libro primero	28	Cap XX	Del Musco de los Arboles	
42	Libro primero	30	Cap XXI	Del Agaloco	
42	Libro primero	30	Cap XXII	Del Nascaphto	
42	Libro primero	30	Cap XXIII	Del Cancamo	
43	Libro primero	31	Cap XXIIII	Del Cyphi	
43	Libro primero	31	Cap XXV	Del Açafran	
44	Libro primero	32	Cap XXVI	Del Crocomagma	
44	Libro primero	32	Cap XXVII	Del Helenio	
45	Libro primero	33	Cap XXVIII	Del Azeyte	
47	Libro primero	35	Cap XXIX	Del Oleomiel	
47	Libro primero	35	Cap XXX	Del Oleo Ricino, o Cicino	
48	Libro primero	36	Cap XXXI	Del Azeyte de Almendras	
48	Libro primero	36	Cap XXXII	Del Oleo Balanino, Sesamino, y de Nuezes	
49	Libro primero	37	Cap XXXIII	De Oleo de Hyoscyamo, de Grano Gnidio, de Cartamo	
49	Libro primero	37	Cap XXXIIII	Del Oleo Myrtino	
50	Libro primero	38	Cap XXXV	Del Oleo Laurino	
50	Libro primero	38	Cap XXXVI	De Oleo de Lentisco, y de Terebinto	
50	Libro primero	38	Cap XXXVII	Del oleo Mastichino	
50	Libro primero	38	Cap XXXVIII	Como se han de preparar los unguentos	
50	Libro primero	38	Cap XXXIX	Del Unguento rosado	
51	Libro primero	39	Cap XL	Del Unguento Elatino	
51	Libro primero	39	Cap XLI	Del Melino	
52	Libro primero	40	Cap XLII	Del Unguento Enantino	
52	Libro primero	40	Cap XLIII	Del Unguento Telino	
52	Libro primero	40	Cap XLIIII	Del Unguento sampsuchino	
53	Libro primero	41	Cap XLV	Del Unguento Ocimino, que quiere dezir de Albahaca	
53	Libro primero	41	Cap XLVI	Del unguento de Abrotano	
53	Libro primero	41	Cap XLVII	Del unguento Anetino	
53	Libro primero	41	Cap XLVIII	Del Unguento de Lirio Ilamado Susino	
54	Libro primero	42	Cap XLIX	Del Unguento del Narcisso	
54	Libro primero	42	Cap L	Del Unguento Crocino, que quiere dezir de Açafran	
55	Libro primero	43	Cap LI	Del Unguento Cyprino	
55	Libro primero	43	Cap LII	Del Unguento Irino	
56	Libro primero	44	Cap LIII	Del Gleucino Unguento	
56	Libro primero	44	Cap LIIII	Del Amaracino Unguento	
56	Libro primero	44	Cap LV	Del Unguento Megalino	
57	Libro primero	45	Cap LV	Del Unguento Hedycroo	
57	Libro primero	45	Cap LVI	Del Metopio	
57	Libro primero	45	Cap LVII	Del unvuento Mendesio	
57	Libro primero	45	Cap LVIII	De la Stacte	
58	Libro primero	46	Cap LIX	Del Unguento Cinnamomino	
58	Libro primero	46	Cap LX	Del Nardino Unguento	
58	Libro primero	46	Cap LXI	Del Malabathrino	
58	Libro primero	46	Cap LXII	Del Unguento Jasmino	
59	Libro primero	47	Cap LXIII	De la Myrra	
60	Libro primero	48	Cap LXIIII	Del Estoraque	
61	Libro primero	49	Cap LXV	Del Bdelio	
61	Libro primero	49	Cap LXVI	Del Encienso	
62	Libro primero	50	Cap LXVII	De la Corteza del Encienso	
62	Libro primero	50	Cap LXVIII	De la Manna de Encienso	
62	Libro primero	50	Cap LXIX	Del hollin del Encienso	
63	Libro primero	51	Cap LXX	Del Pino y de la Picea	
66	Libro primero	54	Cap LXXI	Del Lentisco	
68	Libro primero	56	Cap LXXII	Del Terebinto	
69	Libro primero	57	Cap LXXIIII	De la Pez Liquida	
70	Libro primero	58	Cap LXXV	Del Azeyte de Pez	
70	Libro primero	58	Cap LXXVI	Del hollin de la Pez	
70	Libro primero	58	Cap LXXVII	De la Pez seca	
70	Libro primero	58	Cap LXXVIII	De la Zopissa	
71	Libro primero	61	Cap LXXIX	Del Betun que los Griegos Ilaman asphalto	
71	Libro primero	61	Cap LXXX	Del Pissasphalto	
71	Libro primero	61	Cap LXXXI	Del Betun Ilamado Naphta	
73	Libro primero	61	Cap LXXXII	Del Cypres	
74	Libro primero	62	Cap LXXXIII	Del Enebro	
74	Libro primero	62	Cap LXXXIIII	De la sabina	
75	Libro primero	63	Cap LXXXV	Del Cedro	
76	Libro primero	64	Cap LXXXVI	Del Laurel	
77	Libro primero	65	Cap LXXXVII	Del Platano	
78	Libro primero	66	Cap LXXXVIII	Del fresno	
79	Libro primero	67	Cap LXXXIX	Del populo blanco	
79	Libro primero	67	Cap XC	Del populo negro	
81	Libro primero	69	Cap XCI	Del Macer	
81	Libro primero	69	cap XCII	Del Olmo	
81	Libro primero	69	Cap XCIII	De la carcoma de los Maderos	
82	Libro primero	70	Cap XCIIII	De la Cana	
83	Libro primero	71	Cap XCV	Del papyro	
83	Libro primero	71	Cap XCVI	Del Tamarisco	
84	Libro primero	72	Cap XCVII	De la Erica	
84	Libro primero	72	Cap XCVIII	Del Ramno	
85	Libro primero	73	Cap XCVIX	Del Acacalis	
85	Libro primero	73	Cap C	Del Halimo	
86	Libro primero	74	Cap CI	Del Paliuro	
87	Libro primero	75	Cap CII	De la Oxyacanta	
88	Libro primero	76	Cap CIII	De la Carça Perruna	
89	Libro primero	77	Cap CIIII	Del Ligustro	
89	Libro primero	77	Cap CV	De la Philyrea	
90	Libro primero	78	Cap CVI	Del Cisto	
91	Libro primero	79	Cap CVII	De la Hypocistide	
92	Libro primero	80	Cap CVIII	Del Ladano	
93	Libro primero	81	Cap CIX	Del Ebano	
95	Libro primero	83	Cap CX	De la Rosa	
96	Libro primero	84	Cap CXI	De las Pastillas de Rosas	
97	Libro primero	85	Cap CXII	Del Lycio	
98	Libro primero	86	Cap CXIII	De la Acacia	
100	Libro primero	88	Cap CXIIII	Del Agno	
101	Libro primero	89	Cap CXV	Del Sauz	
101	Libro primero	89	Cap CXVI	Del Olivo faluage, y domestico	
102	Libro primero	90	Cap CXVII	De las Azeytunas faladas, y conseruadas en escaueche a adobo	
103	Libro primero	91	Cap CXVIII	Del Azeyte de las Azeytunas saluages	
103	Libro primero	91	Cap CXIX	De la Goma del Olivo Ethiopico	
103	Libro primero	91	Cap CXX	De l'Amurca de las Azeytunas	
103	Libro primero	91	Cap CXXI	Del Roble, de la Bellota, de la Haya, y dela Enzina	
105	Libro primero	93	Cap CXXII	Delas Castanas	
106	Libro primero	94	Cap CXXIII	Del Agalla	
107	Libro primero	95	Cap CXXIIII	Del Rhu	
108	Libro primero	96	Cap CXXV	De la palma	
108	Libro primero	96	Cap CXXVI	De la Palma Ilamada Elate	
109	Libro primero	97	Cap CXXVII	De la Granada	
111	Libro primero	99	Cap CXXVIII	Del Arrayhan, y myrtidano	
112	Libro primero	100	Cap CXXIX	De las Cerezas	
113	Libro primero	101	Cap CXXX	De las Algarrouas	
113	Libro primero	101	Cap CXXXI	De todo genero de Mançanos	
119	Libro primero	107	Cap CXXXII	De las Peras	
119	Libro primero	107	Cap CXXXIII	Del Mespero	
120	Libro primero	108	Cap CXXXIIII	Del Arbol Ilamado Loto	
121	Libro primero	109	Cap CXXXV	Del Corno	
122	Libro primero	110	Cap CXXXVII	Del Ciruelo	
123	Libro primero	111	Cap CXXXVIII	Del Madrono	
124	Libro primero	112	Cap CXXXIX	De las almendras	
125	Libro primero	113	Cap CXL	Del Alhocigo	
125	Libro primero	113	Cap CXLI	De las Nuezes	
127	Libro primero	115	Cap CXLII	De las Auellanas	
128	Libro primero	116	Cap CXLIII	Del Moral	
129	Libro primero	117	Cap CXLIIII	De la higuera Egyptia, Ilamada Sycomoro en Grigo	
