lusitanus_iiif	lusitanus_entry	lusitanus_chapter
3	De Iride (iris, radix consecratrix, lilium coeleste / des flambes, du glaiz)	Textus primi enarratio prima
5	De acoro (acorum, acorus, herba venerea, galangua crassa / galanga)	Textus secundi enarratio
7	De meo (mean, meu athamanticum, anethum sylvestrae, foeniculus tortuosus)	Textus tertii enarratio
9	De cypero (cyperus, cyperus odoratus, angulosus iuncus, triangularis iuncus, quadratus iuncus / suocheti)	Textus quarti enarratio
11	De cardamomo (cardamomum, cardamomum indicum, cardamomum maius	
12	Arabum cardamomum (cardamomum minus, malagueta, maligreta, granum paradisi)	Textus quinti enarratio
15	De spica nardi (nardus indica, spica nardi, indica spica, radix spica)	Textus sexti enarratio
17	De nardo gallica (gallica nardus, celtica nardus, celticum nardum, spica romana, spica celtica, spica gallica). Secunda species (saliunca, birculus, spica communis, mascula spica, spica barbitonsorum / aspico). Tertia species (lavandula / lavende)	Textus septimi enarratio
20	De montana nardo (nardus montana, montanus nardum, vulgo montano nardo)	Textus octavi enarratio
20	De assaro (assarum, asarus, rustica nardus, nardus agrestis, vulgago / cabaret)	Enarratio nona
21	De phu (valeriana, amantilla, valentiana, herba benedicta / valeriane)	
22	De malabathro (malabathrum, folium indicum)	Textus undecimi enarratio
23	De casia (casia, casia lignea, cinnamomum invalidum)	Enarratio 12
24	De cinnamomo (cinnamomum, rugosum cinnamomum / canella)	Enarratio 13
27	Amomum (amomum, succedaneum amo mi, radix acori, id est, crassa galanga)	Enarratio 14
28	Costus (costum, costus). Falsus costus (hortulana romana, menta romana, menta sarracenica, costus hortulanus / du cocq)	Enarratio 15
30	De schoeno (iuncus odoratus rotundus, palea camelorum / squinanta)	Enarratio 16
31	De calamo aromatico (calamus aromaticus)	Enarratio 17
33	De balsamo (balsamum, liquor balsami, lignum balsami, fructus balsami)	Enarratio 18
36	De aspalatho (aspalathus, lignum rhodium, lignum aloes rhodiorum, cortex bugiae)	Enarratio 19
37	De musco arborum (bryum, muscus, usnea, arborum muscus). Textus vigesimi enarratio	
40	De agallocho (lignum aloes, lignum aquilae)	Enarratio 21
41	De narcaphto (narcaphthum, nascaphthum, thymiana)	Enarratio 22
42	De cancamo (cancamum)	Enarratio 23
43	De cyphi (cyphi, confectio odorata dijs dicata)	Enarratio 24
45	De croco (crocus)	Enarratio 25
46	De crocomagmate (crocomagma, fex olei crocini)	Enarratio 26
46	De enula campana (helentium, enula campanica, enula campatta, terminalum, verbascum idaeum / enula campana)	Enarratio 27
48	De oleo (oleum)	Enarratio 28
49	De oleo oleastri (oleum oleastri)	Enarratio 29
49	De oleo albo sicyonio dicto (sicyonium oleum, oleum album ê sicyone civitate)	Enarratio 30
50	De elaeomelle (elaeomel, oleum palmarum)	Enarratio 31
