mattioli_chapter	mattioli_book	mattioli_greek	mattioli_latin
I	1	Ἴρις	IRIS
II	1	Ἄκορον	AKORON
III	1	Μῆον	MEON
IV	1	Κύπερος	CYPERUS
V	1	Καρδάμωμον	CARDAMOMUM
VI	1	Νάρδος	NARDUM
VII	1	Νάρδος Κελτική	NARDUM CELTICUM
VIII	1	Νάρδος ὀρειτή	NARDUM MONTANUM
IX	1	Ἄσαρον	ASARUM
X	1	Φοῦ	PHU
XI	1	Μαλάβαθρον	MALABATHRUM
XII	1	Κασσία	CASSIA
XIII	1	Κιννάμωμον	CINNAMOMUM
XIV	1	Ἄμωμον	AMOMUM
XV	1	Κόστος	COSTUS
XVI	1	Σχοῖνος ἀρωματικός	IUNCUS ODORATUS
XVII	1	Κάλαμος ἀρωματικός	CALAMUS ODORATUS
XVIII	1	Βάλσαμον	BALSAMUM
XIX	1	Ἀσπάλαθος	ASPALATHUS
XX	1	Βρύον	MUSCUS
XXI	1	Ἀγάλλοχον	AGALLOCHUM
XXII	1	Νάρκαφθον	NARCAPHTHUM
XXIII	1	Κάγκαμον	CANCAMUM
XXIV	1	Κῦφι	CYPHI
XXV	1	Κρόκος	CROCUM
XXVI	1	Κροκόμαγμα	CROCOMAGMA
XXVII	1	Ἑλένιον	HELENIUM
XXVIII	1	Ὀμφάκινον, καὶ πᾶν ἔλαιον	OMPHACINUM, ET OMNE OLEUM
XXIX	1	Ἔλαιον τῆς ἀγριελαίης	OLEUM SYLVESTRIS OLIVAE
XXX	1	Σικυώνιον ἔλαιον	SICYONIUM OLEUM
XXXI	1	Ῥύπος	STRIGMENTUM
XXXII	1	Ἐλαιόμελι	ELAEOMELI
XXXIII	1	Κίκινον ἔλαιον	CICINUM OLEUM
XXXIV	1	Ἀμυγδάλινον ἔλαιον	AMYGDALINUM OLEUM
XXXV	1	Βαλάνινον ἔλαιον	BALANINUM OLEUM
XXXVI	1	Ὑοσκυάμινον ἔλαιον	HYOSCYAMINUM OLEUM
XXXVII	1	Μυρσίνινον ἔλαιον	MYRTEUM OLEUM
XXXVIII	1	Δάφνινον ἔλαιον	LAURINUM OLEUM
XXXIX	1	Σχίνινον ἔλαιον	LENTISCINUM OLEUM
XL	1	Μαστίχινον ἔλαιον	MASTICHINUM OLEUM
XLI	1	Μύρων σύνθεσις	UNGUENTORUM COMPOSITIO
XLII	1	Ῥόδινον	ROSACEUM
XLIII	1	Ἐλάτινον	ELATINUM
XLIV	1	Μήλινον	MELINUM
XLV	1	Ὠινάνθινον	OENANTHINUM
XLVI	1	Τήλινον	TELINUM
XLVII	1	Σαμψύχινον	SAMPSUCHINUM
XLVIII	1	Ὠκίμινον	OCIMINUM
XLIX	1	Ἀβροτόνινον	ABROTONINUM
L	1	Ἀνέθινον	ANETHINUM
LI	1	Σούσινον	SUSINUM
LII	1	Ναρκίσσινον	NARCISSINUM
LIII	1	Κρόκινον	CROCINUM
LIV	1	Κύπρινον	CYPRINUM
LV	1	Ἴρινον	IRINUM
LVI	1	Γλεύκινον	GLEUCINUM
LVII	1	Ἀμαράκινον	AMARACINUM
LVIII	1	Μεγαλεῖον	MEGALINUM
LIX	1	Ἡδύχρουν	HEDYCROUM
LX	1	Μετώπιον 	METOPIUM
LXI	1	Μενδήσιον	MENDESIUM
LXII	1	Στακτὴ	STACTE
LXIII	1	Κινναμώμινον	CINNAMOMINUM
LXIV	1	Νάρδινον	NARDINUM
LXV	1	Μαλαβάθρινον	MALABATHRINUM
LXVI	1	Ἰάσμινον	IASMINUM
LXVII	1	Σμύρνα	MYRRHA
LXVIII	1	Στύραξ	STYRAX
LXIX	1	Βδέλλιον	BDELLIUM
LXX	1	Λίβανος	THUS
LXXI	1	Φλοιὸς λιβάνου	CORTEX THURIS
LXXII	1	Μάννα λιβάνου	MANNA THURIS
LXXIII	1	Αἰθάλη λιβανωτοῦ	FULIGO THURIS
LXXIV	1	Πεύκη καὶ Πίτυς	PICEA ET PINUS
LXXV	1	Σχῖνος	LENTISCUS
LXXVI	1	Τέρμινθος	TEREBINTHUS
LXXVII	1	Ῥητίναι ἄλλαι	RESINAE ALIAE
LXXVIII	1	Πίσσα ὑγρά	PIX LIQUIDA
LXXIX	1	Πισσέλαιον	PICINUM OLEUM
LXXX	1	Λιγνύς τῆς ὑγρᾶς πίσσης	FULIGO LIQUIDAE PICIS
LXXXI	1	Πίσσα ξηρά	PIX ARIDA
LXXXII	1	Ζώπισσα	ZOPISSA
LXXXIII	1	Ἄσφαλτος	BITUMEN
LXXXIV	1	Πισσάσφαλτος	PISSASPHALTUM
LXXXV	1	Νάφθα	NAPHTHA
LXXXVI	1	Κυπάρισσος	CUPRESSUS
LXXXVII	1	Ἀρκευθίς	IUNIPERUS
LXXXVIII	1	Βράθυ{ς}	SABINA
LXXXIX	1	Κέδρος	CEDRUS
XC	1	Δάφνη	LAURUS
XCI	1	Πλάτανος	PLATANUS
XCII	1	Μελία	FRAXINUS
XCIII	1	Λεύκη καὶ Αἴγειρος	POPULUS ALBA ET NIGRA
XCIV	1	Μάκερ	MACER
XCV	1	Πτελέα	ULMUS
XCVI	1	Σαπρότης ξύλων	LIGNORUM MARCOR
XCVII	1	Κάλαμος	HARUNDO
XCVIII	1	Πάπυρος	PAPYRUS
