ruel_web	ruel_book	ruel_page	ruel_chapter	ruel_entry
26	Liber primus	2v	Cap I	De iri
26	Liber primus	2v	Cap II	De acoro
27	Liber primus	3r	Cap III	De meo
27	Liber primus	3r	Cap IIII	De cypiro
27	Liber primus	3r	Cap V	De cardamomo
28	Liber primus	3v	Cap VI	De nardo
28	Liber primus	3v	Cap VII	De nardo celtico
29	Liber primus	4r	Cap VIII	De montano nardo
29	Liber primus	4r	Cap IX	De afaro
29	Liber primus	4r	Cap X	De phu
30	Liber primus	4v	Cap XI	De malabatro
30	Liber primus	4v	Cap XII	De casia
30	Liber primus	4v	Cap XIII	De pseudocasia
31	Liber primus	5r	Cap XIIII	De cinnamomo
31	Liber primus	5r	Cap XV	De pseudocinnamo
32	Liber primus	5v	Cap XVI	De amomo
32	Liber primus	5v	Cap XVII	De costo
33	Liber primus	6r	Cap XVIII	De odorato junco
33	Liber primus	6r	Cap XIX	De calamo odorato
33	Liber primus	6r	Cap XX	De balsamo
33	Liber primus	6r	Cap XXI	De opobalsamo
34	Liber primus	6v	Cap XXII	De xylobalsamo
34	Liber primus	6v	Cap XXIII	De aspalatho
35	Liber primus	7r	Cap XXIIII	De musco
35	Liber primus	7r	Cap XXV	De agallocho
35	Liber primus	7r	Cap XXVI	De narcaphto
35	Liber primus	7r	Cap XXVII	De cancamo
35	Liber primus	7r	Cap XXVIII	De cyphi
36	Liber primus	7v	Cap XXIX	De croco
36	Liber primus	7v	Cap XXX	De crocomagnate
37	Liber primus	8r	Cap XXXI	De helenio
37	Liber primus	8r	Cap XXXII	De altero helenio
37	Liber primus	8r	Cap XXXIII	De omphacino oleo
38	Liber primus	8v	Cap XXXIIII	De oleo sylvestris oliuae
38	Liber primus	8v	Cap XXXV	De sicyonio
38	Liber primus	8v	Cap XXXVI	De strigmentis balnearum
38	Liber primus	8v	Cap XXXVII	De elaeomelite
39	Liber primus	9r	Cap XXXVIII	De cicino oleo
39	Liber primus	9r	Cap XXXIX	De amygdalino oleo
39	Liber primus	9r	Cap XL	De balanino oleo
39	Liber primus	9r	Cap XLI	De hyosciamnio oleo
40	Liber primus	9v	Cap XL	De oleo egrano cnidio
40	Liber primus	9v	Cap XLIII	De cnicino oleo
40	Liber primus	9v	Cap XLIIII	De rhaphanino
40	Liber primus	9v	Cap XLV	De melano
40	Liber primus	9v	Cap XLVI	De sinapino
40	Liber primus	9v	Cap XLVII	De myrteo oleo
40	Liber primus	9v	Cap XLVIII	De laurino
41	Liber primus	10r	Cap XLIX	De lentiscino
41	Liber primus	10r	Cap L	De mastichino oleo
41	Liber primus	10r	Cap LI	De unguentorum ratione
41	Liber primus	10r	Cap LII	De rosaceo
42	Liber primus	10v	Cap LIII	De elatino
42	Liber primus	10v	Cap LIIII	De melino
42	Liber primus	10v	Cap LV	De oenanthini compositione
42	Liber primus	10v	Cap LVI	De telini componendi ratione
43	Liber primus	11r	Cap LVII	De sampsuchino
43	Liber primus	11r	Cap LVIII	De ocimini compositione
43	Liber primus	11r	Cap LIX	De abrotonini compositione
43	Liber primus	11r	Cap LX	De anethini compositione
44	Liber primus	11v	Cap LXI	De susini compositione
44	Liber primus	11v	Cap LXII	De narcissini compositione
45	Liber primus	12r	Cap LXIII	De crocini olei compositione
45	Liber primus	12r	Cap LXIIII	De cyprini pissameto et olei compositione
46	Liber primus	12v	Cap LXV	De irini spissamento
46	Liber primus	12v	Cap LXVI	De gleucini compositione
46	Liber primus	12v	Cap LXVII	De amaracino
47	Liber primus	13r	Cap LXVIII	De megalino
47	Liber primus	13r	Cap LXIX	De hedycroo
47	Liber primus	13r	Cap LXX	De metopio
47	Liber primus	13r	Cap LXXI	De mendesio
