wechel_scan_id	wechel_book	wechel_page	wechel_title	wechel_chapter
38	Liber primus	4	De Iride.	Cap. I
40	Liber primus	6	De Acoro.	Cap. II
40	Liber primus	6	De Meo.	Cap. III
40	Liber primus	6	De Cypero.	Cap. IIII
41	Liber primus	7	De Cardamomo.	Cap. V
42	Liber primus	8	De Nardo.	Cap. VI
43	Liber primus	9	De Nardo Celtica.	Cap. VII
44	Liber primus	10	De Nardo Montana.	Cap. VIII
44	Liber primus	10	De Asaro.	Cap. IX
44	Liber primus	10	De Phu.	Cap. X
45	Liber primus	11	De Malabathro.	Cap. XI
45	Liber primus	11	De Cassia.	Cap. XII
46	Liber primus	12	De Cinnamomo.	Cap. XIII
48	Liber primus	14	De Amomo.	Cap. XIIII
49	Liber primus	15	De Costo.	Cap. XV
49	Liber primus	15	De Iunco odorato.	Cap. XVI
50	Liber primus	16	De Calamo odorato.	Cap. XVII
50	Liber primus	16	De Balsamo.	Cap. XVIII
52	Liber primus	18	De Aspalatho.	Cap. XIX
53	Liber primus	19	De Musco.	Cap. XX
53	Liber primus	19	De Agallocho.	Cap. XXI
53	Liber primus	19	De Nascaphtho.	Cap. XXII
53	Liber primus	19	De Cancamo.	Cap. XXIII
54	Liber primus	20	De Cyphi.	Cap. XXIIII
54	Liber primus	20	De Croco.	Cap. XXV
55	Liber primus	21	De Crocomagmate.	Cap. XXVI
56	Liber primus	22	De Helenio.	Cap. XXVII
56	Liber primus	22	De Helenio Aegyptio.	Cap. XXVIII
56	Liber primus	22	De oleo omphacino.	Cap. XXIX
57	Liber primus	23	De oleo communi.	Cap. XXX
57	Liber primus	23	De oleo sylvestris olivae.	Cap. XXXI
57	Liber primus	23	Oleum candidum.	Cap. XXXII
58	Liber primus	24	De Sicyonio oleo.	Cap. XXXIII
58	Liber primus	24	Strigmenta à balneis.	Cap. XXXIIII
58	Liber primus	24	Strigmenta palaestrica.	Cap. XXXV
58	Liber primus	24	Strigmenta gymnasiorum.	Cap. XXXVI
59	Liber primus	25	De Elaeomelite.	Cap. XXXVII
59	Liber primus	25	De Cicino oleo.	Cap. XXXVIII
60	Liber primus	26	De Amygdalino oleo.	Cap. XXXIX
60	Liber primus	26	De Balanino oleo.	Cap. XL
60	Liber primus	26	Olea Sesaminum et Caryinum.	Cap. XLI
61	Liber primus	27	De Hyoscyamino oleo.	Cap. XLII
61	Liber primus	27	De Gnidico oleo.	Cap. XLIII
61	Liber primus	27	De Cnicino oleo.	Cap. XLIIII
61	Liber primus	27	De Raphanino oleo.	Cap. XLV
61	Liber primus	27	De Melanthino oleo.	Cap. XLVI
61	Liber primus	27	De Sinapino oleo.	Cap. XLVII
61	Liber primus	27	De Myrtino oleo.	Cap. XLVIII
62	Liber primus	28	De Laurino oleo.	Cap. XLIX
62	Liber primus	28	De Lentiscino et Terebinthino.	Cap. L
63	Liber primus	29	De Mastichino.	Cap. LI
63	Liber primus	29	De unguentorum compositione.	Cap. LII
63	Liber primus	29	De Rosacei praeparatione.	Cap. LIII
64	Liber primus	30	De Elatini confectione.	Cap. LIIII
65	Liber primus	31	De Melini compositione.	Cap. LV
65	Liber primus	31	De Oenanthini confectione.	Cap. LVI
65	Liber primus	31	De Telini componendi ratione.	Cap. LVII
66	Liber primus	32	De Sampsuchini componendi.	Cap. LVIII
66	Liber primus	32	De Ocimini praeparatione. C. LIX	
67	Liber primus	33	De Abrotonini confectione.	Cap. LX
67	Liber primus	33	De Anethini componendi ratione.	Cap. LXI
67	Liber primus	33	De Susini compositione.	Cap. LXII
69	Liber primus	35	De Narcissini mistura.	Cap. LXIII
69	Liber primus	35	De Crocini confectione. C. LXIIII	
70	Liber primus	36	De Cyprini olei spissamento ac praeparatione.	Cap. LXV
71	Liber primus	37	De Irini spissamento.	Cap. LXVI
72	Liber primus	38	De Gleucini compositione.	Cap. LXVII
72	Liber primus	38	De Amaracino.	Cap. LXVIII
73	Liber primus	39	De Megalio.	Cap. LXIX
73	Liber primus	39	De Hedychroo.	Cap. LXX
73	Liber primus	39	De Metopio.	Cap. LXXI
74	Liber primus	40	De Mendesio.	Cap. LXXII
74	Liber primus	40	De Stacte.	Cap. LXXIII
74	Liber primus	40	De Cinnamomino.	Cap. LXXIIII
75	Liber primus	41	De Nardino unguento.	Cap. LXXV
75	Liber primus	41	De Malabathrino.	Cap. LXXVI
75	Liber primus	41	De Myrrha.	Cap. LXXVII
77	Liber primus	43	De Boeotica myrrha.	Cap. LXXVIII
77	Liber primus	43	De Styrace.	Cap. LXXIX
78	Liber primus	44	De Bdellio.	Cap. LXXX
79	Liber primus	45	De Thure.	Cap. LXXXI
80	Liber primus	46	De Thuris cortice.	Cap. LXXXII
80	Liber primus	46	De Manna thuris.	Cap. LXXXIII
